Benchmark,Run time [s],Avg. power [W],Avg. max temp [°C],Max temp [°C],Energy [J]
blackscholes,134.679,8.783252647503781,67.78063540090771,85.0,1182.9196833131618
bodytrack,150.713,8.520016528925618,66.21763085399449,77.0,1284.0772511239666
