Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
10.7017,5.7940,61.76,120.00,0.006738
10.7739,5.7940,62.03,120.00,0.006586
10.8466,5.7940,61.76,120.00,0.006372
10.9171,5.7940,61.22,120.00,0.006407
10.9903,5.7940,61.49,120.00,0.006751
11.0622,5.7940,61.49,120.00,0.006736
11.1385,5.7940,61.49,120.00,0.006951
11.2143,5.7940,61.49,120.00,0.006904
11.2906,5.7940,61.76,120.00,0.006732
11.3628,5.7940,62.03,120.00,0.006546
11.4393,5.7940,61.49,120.00,0.006790
11.5131,5.7940,61.49,120.00,0.007087
11.5902,5.9540,62.03,120.00,0.006610
11.6617,5.9540,62.03,120.00,0.006731
11.7378,5.9540,61.49,120.00,0.006884
11.8137,5.9540,61.49,120.00,0.006752
11.8870,5.9540,61.76,120.00,0.006329
11.9615,5.9540,61.76,120.00,0.006721
12.0342,5.9540,61.22,120.00,0.006676
12.1048,5.9540,60.95,120.00,0.006303
12.1773,5.9540,61.76,120.00,0.006749
12.2497,5.9540,61.49,120.00,0.006679
12.3222,5.9540,61.22,120.00,0.006682
12.3939,5.9540,61.49,120.00,0.007228
12.4701,5.9540,62.03,120.00,0.006924
12.5462,5.9540,62.03,120.00,0.007063
12.6217,5.9540,61.22,120.00,0.006545
12.6934,5.9540,61.49,120.00,0.006784
12.7710,5.9540,61.76,120.00,0.006942
12.8431,5.9540,61.76,120.00,0.006826
12.9202,5.9540,61.76,120.00,0.007096
12.9943,5.9540,62.03,120.00,0.006922
13.0711,5.9540,61.22,120.00,0.006958
13.1428,5.9540,61.76,120.00,0.006644
13.2188,5.9540,61.22,120.00,0.007072
13.2901,5.9540,61.76,120.00,0.006649
13.3664,5.9540,61.76,120.00,0.007082
13.4373,5.9540,61.76,120.00,0.006429
13.5138,5.9540,62.03,120.00,0.006765
13.5865,5.9540,62.03,120.00,0.006909
13.6637,5.9540,61.76,120.00,0.007112
13.7384,5.9715,61.76,120.00,0.007087
13.8138,5.9890,61.49,120.00,0.007125
13.8847,5.9890,61.76,120.00,0.006286
13.9603,5.9890,61.49,120.00,0.006828
14.0321,5.9890,61.49,120.00,0.006823
14.1078,5.9890,61.76,120.00,0.006538
14.1821,5.9890,61.49,120.00,0.007462
14.2583,5.9890,61.22,120.00,0.006774
14.3345,5.9890,62.30,120.00,0.006787
14.4109,5.9890,61.22,120.00,0.006791
14.4870,5.9890,61.49,120.00,0.006647
14.5620,5.8970,61.76,120.00,0.006731
14.6382,5.8970,61.49,120.00,0.006581
14.7133,5.8970,61.76,120.00,0.006814
14.7857,5.8970,61.22,120.00,0.006515
14.8618,5.8970,62.03,120.00,0.006820
14.9340,5.8970,61.76,120.00,0.006974
15.0105,5.8970,61.49,120.00,0.006840
15.0826,5.8970,61.76,120.00,0.007241
15.1569,5.8970,61.49,120.00,0.006838
15.2316,5.8970,62.03,120.00,0.006854
15.3055,5.8970,61.76,120.00,0.006879
15.3773,5.8970,61.49,120.00,0.006570
15.4514,5.8970,62.03,120.00,0.006732
15.5238,5.9580,61.76,120.00,0.006979
15.5981,6.0190,61.76,120.00,0.006743
15.6744,6.0190,62.03,120.00,0.006868
15.7509,6.0190,61.76,120.00,0.006840
15.8251,6.0190,62.03,120.00,0.006811
15.8989,6.0190,61.76,119.50,0.006305
15.9727,6.0190,61.49,119.00,0.006756
16.0464,6.0190,62.03,119.00,0.006398
16.1175,6.0190,62.30,119.00,0.006731
16.1942,6.0190,62.03,119.50,0.006927
16.2660,6.0190,61.76,119.50,0.006884
16.3416,6.0190,62.03,119.00,0.006756
16.4125,6.0190,62.03,119.50,0.006327
16.4848,6.0190,61.76,120.00,0.006335
16.5574,6.0190,61.76,120.00,0.006620
16.6330,5.9850,62.03,120.00,0.006847
16.7047,5.9510,62.03,119.50,0.006789
16.7790,5.9510,61.76,119.00,0.006791
16.8530,5.9510,61.76,119.00,0.006807
16.9273,5.9510,62.30,119.00,0.006926
16.9993,5.9510,62.30,119.50,0.007068
17.0754,5.9510,61.76,119.00,0.007199
17.1512,5.9510,61.49,119.00,0.006682
17.2251,5.9510,61.76,119.00,0.006610
17.2971,5.9510,62.03,119.00,0.006620
17.3702,5.9510,61.49,119.00,0.006609
17.4422,5.9510,61.49,119.00,0.006455
17.5169,5.9510,61.76,119.00,0.006420
17.5893,5.9510,61.76,119.00,0.006338
17.6629,5.9810,62.03,119.00,0.006566
17.7369,5.9810,61.49,119.00,0.006603
17.8130,5.9810,62.03,119.00,0.006721
17.8849,5.9810,61.49,119.00,0.006778
17.9593,5.9810,61.76,119.00,0.007220
18.0340,5.9810,62.30,119.00,0.006908
18.1104,5.9810,62.03,119.00,0.006716
18.1849,5.9810,61.76,119.00,0.006903
18.2589,5.9810,61.76,119.00,0.006822
18.3310,5.9810,62.30,119.00,0.006788
18.4055,5.9810,62.03,119.00,0.007266
18.4792,5.9810,62.30,119.00,0.006596
18.5538,5.9505,62.03,119.00,0.006966
18.6283,5.9200,62.30,119.00,0.007048
18.7024,5.9200,61.76,119.00,0.007029
18.7791,5.9200,61.49,119.00,0.006744
18.8527,5.9200,62.03,119.00,0.006680
18.9246,5.9200,62.03,119.00,0.007035
18.9980,5.9200,62.03,119.00,0.006829
19.0695,5.9200,62.03,119.00,0.006602
19.1455,5.9200,61.76,119.00,0.006777
19.2177,5.9200,61.49,119.00,0.007138
19.2911,5.9200,61.76,119.00,0.006625
19.3647,5.9200,61.49,119.00,0.006714
19.4386,5.9200,62.30,119.00,0.007030
19.5106,5.9200,61.49,119.00,0.006988
19.5844,5.9200,62.03,119.00,0.006617
19.6544,5.9200,62.03,119.00,0.006316
19.7295,5.9200,62.03,119.00,0.006586
19.8001,5.9200,61.49,119.00,0.006349
19.8741,5.9200,61.76,119.00,0.006929
19.9502,5.9200,61.76,119.00,0.006683
20.0268,5.9200,61.49,119.00,0.007061
20.0992,5.9200,62.30,119.00,0.007796
20.1746,5.9200,61.76,119.00,0.006657
20.2489,5.9200,62.03,119.00,0.006827
20.3234,5.9200,61.76,119.00,0.007326
20.3950,5.9200,61.76,119.00,0.006757
20.4698,5.9200,61.49,119.00,0.007020
20.5415,5.9200,61.22,119.00,0.006358
20.6138,5.9200,61.76,119.00,0.006389
20.6864,5.9200,61.76,119.00,0.006633
20.7622,5.9200,61.49,119.00,0.006797
20.8380,5.9485,61.49,119.00,0.006629
20.9123,5.9770,62.30,119.00,0.006426
20.9838,5.9770,61.76,119.00,0.006652
21.0600,5.9770,61.76,119.00,0.006937
21.1335,5.9770,62.03,119.00,0.006827
21.2100,5.9770,61.49,119.00,0.006699
21.2826,5.9770,62.03,119.00,0.006966
21.3611,5.9770,61.76,119.00,0.007129
21.4327,5.9770,62.03,119.00,0.006672
21.5072,5.9770,61.49,119.00,0.006636
21.5801,5.9470,61.22,119.00,0.007050
21.6540,5.9470,61.49,119.00,0.007061
21.7286,5.9470,61.76,119.00,0.006716
21.8031,5.9470,62.03,119.00,0.007027
21.8741,5.9470,62.03,119.00,0.006465
21.9508,5.9470,62.03,118.50,0.006792
22.0239,5.9470,62.03,118.00,0.007672
22.0980,5.9470,61.76,118.00,0.006786
22.1727,5.9470,61.49,119.00,0.006914
22.2470,5.9470,61.49,119.00,0.006786
22.3206,5.9470,62.03,119.00,0.006815
22.3947,5.9470,61.76,119.00,0.006865
22.4691,5.9470,61.76,119.00,0.007127
22.5433,5.9525,62.30,119.00,0.006913
22.6177,5.9580,62.30,119.00,0.006950
22.6963,5.9580,62.03,119.00,0.006684
22.7701,5.9580,62.03,119.00,0.006818
22.8462,5.9580,61.76,119.00,0.006871
22.9220,5.9580,62.30,119.00,0.006868
22.9984,5.9580,61.76,119.00,0.006906
23.0743,5.9580,61.76,119.00,0.006730
23.1509,5.9580,61.76,119.00,0.006714
23.2234,5.9580,61.49,119.00,0.006278
23.2962,5.9580,61.76,119.00,0.006948
23.3668,5.9580,62.03,119.00,0.006417
23.4424,5.9580,61.49,119.00,0.007100
23.5170,5.9580,62.03,119.00,0.007030
23.5910,6.0000,61.76,119.00,0.006472
23.6654,6.0000,61.49,118.50,0.007267
23.7382,6.0000,62.03,118.00,0.006557
23.8107,6.0000,62.30,118.00,0.006411
23.8860,6.0000,62.03,118.00,0.006954
23.9576,6.0000,62.03,118.00,0.006693
24.0341,6.0000,62.03,118.00,0.007060
24.1052,6.0000,61.49,118.00,0.006923
24.1784,6.0000,61.76,118.00,0.006910
24.2541,6.0000,61.76,118.00,0.006658
24.3300,6.0000,62.30,118.50,0.006814
24.4015,6.0000,61.49,119.00,0.006748
24.4756,6.0000,62.30,119.00,0.006937
24.5498,5.9655,62.03,119.00,0.006840
