Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
0.1541,0.0000,40.12,347.00,0.063284
0.2662,0.0000,42.75,347.50,0.062792
0.3790,0.0000,44.12,348.50,0.063545
0.4910,0.0000,45.12,349.50,0.061536
0.6028,0.0000,45.88,349.00,0.061362
0.7144,4.0040,46.50,349.50,0.060839
0.8266,8.0080,46.88,350.00,0.061434
0.9389,8.0080,47.25,350.00,0.061405
1.0512,8.0080,47.75,350.00,0.061706
1.1632,8.0080,48.00,349.50,0.061515
1.2739,8.0080,48.25,349.50,0.059968
1.3845,8.0080,48.62,349.00,0.060503
1.4957,8.0080,49.00,349.50,0.060966
1.6090,8.0080,49.12,349.50,0.062789
1.7225,7.9620,49.25,350.00,0.063119
1.8360,7.9160,49.38,349.00,0.062837
1.9495,7.9160,49.75,349.00,0.062511
2.0643,7.9160,49.88,350.00,0.063819
2.1775,7.9160,50.12,350.00,0.062652
2.2884,7.9160,50.38,350.50,0.062427
2.3993,7.9160,50.62,350.00,0.062640
2.5130,7.9160,50.38,351.00,0.063318
2.6252,7.9160,50.75,351.00,0.064080
2.7381,8.3895,50.75,350.00,0.063311
2.8546,8.8630,50.88,350.00,0.065640
2.9685,8.8630,50.75,350.00,0.063879
3.0799,8.8630,51.00,350.00,0.062437
3.1902,8.8630,51.25,349.00,0.061904
3.3007,8.8630,51.38,349.00,0.062238
3.4126,8.8630,51.50,349.00,0.063599
3.5255,8.8630,51.62,349.00,0.062625
3.6396,8.8630,51.62,349.00,0.064721
3.7534,8.5460,51.75,349.00,0.063546
3.8660,8.2290,51.75,349.00,0.061958
3.9799,8.2290,51.88,348.00,0.064600
4.0934,8.2290,51.88,348.50,0.063500
4.2048,8.2290,52.12,349.00,0.063376
4.3145,8.2290,52.25,349.50,0.061575
4.4223,8.2290,52.38,349.00,0.059252
4.5346,8.2290,52.25,349.50,0.062886
4.6439,8.0400,52.50,350.00,0.060884
4.7545,7.8510,52.50,350.00,0.060451
4.8657,7.8510,52.62,350.00,0.060292
4.9787,7.8510,52.75,349.00,0.063651
5.0915,7.8510,52.75,349.00,0.063314
5.2051,7.8510,52.62,349.00,0.063334
5.3178,7.8510,52.88,350.00,0.062184
5.4285,7.8510,52.88,350.00,0.060652
5.5404,7.8510,53.00,350.00,0.061697
5.6531,7.8510,53.00,349.00,0.062521
5.7671,7.8510,52.88,349.00,0.063778
5.8806,7.8510,52.88,349.50,0.062906
5.9927,7.8510,53.00,350.00,0.061514
6.1027,7.8510,53.00,350.00,0.059386
6.2151,7.8510,53.25,350.00,0.061588
6.3270,7.8510,53.25,349.50,0.061420
6.4391,7.8510,53.25,349.00,0.061479
6.5511,7.8510,53.25,349.00,0.061341
6.6644,7.8510,53.25,349.00,0.062759
6.7765,7.8510,53.25,349.50,0.060991
6.8894,7.8510,53.50,349.50,0.062244
7.0035,7.8510,53.50,350.00,0.063730
7.1168,8.2445,53.38,350.00,0.062729
7.2320,8.6380,53.25,350.50,0.064246
7.3423,8.6380,53.25,350.50,0.060830
7.4535,8.6380,53.62,351.00,0.060987
7.5657,8.6380,53.88,350.00,0.061490
7.6780,8.6380,53.88,350.00,0.061753
7.7907,8.8060,53.75,350.00,0.061826
