Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
7.5468,6.6870,49.00,298.00,0.019876
7.6023,6.6870,49.00,298.00,0.019491
7.6563,6.6870,49.12,297.50,0.019080
7.7119,6.6870,49.12,298.00,0.019678
7.7650,6.6870,49.00,298.00,0.018991
7.8205,6.5230,49.12,298.50,0.019092
7.8751,6.5230,49.25,298.50,0.019811
7.9303,6.5230,49.38,298.00,0.019706
7.9840,6.5230,49.50,298.50,0.019009
8.0402,6.5230,49.25,298.00,0.020521
8.0932,6.5230,49.12,299.00,0.018929
8.1469,6.5230,49.00,298.00,0.019869
8.2004,6.5230,49.00,298.00,0.018911
8.2569,6.5230,48.88,298.00,0.020682
8.3107,6.5230,48.88,298.00,0.019674
8.3654,6.5230,48.88,297.00,0.018937
8.4194,6.5230,49.12,297.00,0.019583
8.4747,6.5230,49.00,297.00,0.019650
8.5295,6.5230,49.12,297.50,0.020271
8.5847,6.5230,48.88,297.50,0.019288
8.6402,6.5230,49.00,297.00,0.020614
8.6952,6.5230,49.00,297.00,0.019767
8.7497,6.5230,48.88,297.00,0.020029
8.8053,6.5230,49.12,296.50,0.020371
8.8599,6.4960,49.00,296.00,0.019556
8.9163,6.4960,49.00,296.50,0.020708
8.9717,6.4960,49.25,297.00,0.020906
9.0255,6.4960,49.12,297.00,0.019930
9.0767,6.4960,49.12,297.00,0.018946
9.1320,6.4960,49.25,297.00,0.020786
9.1850,6.4960,49.25,297.00,0.018890
9.2402,6.4960,49.00,296.00,0.019785
9.2945,6.4960,49.00,296.50,0.020055
9.3470,6.4960,49.00,296.50,0.019247
9.4007,6.4960,49.00,296.50,0.021086
9.4555,6.4960,49.12,296.00,0.020874
9.5091,6.4960,49.12,296.00,0.019121
9.5641,6.4960,49.12,296.00,0.019309
9.6196,6.4960,49.25,296.50,0.020847
9.6722,6.4960,49.25,297.00,0.019123
9.7263,6.4960,49.38,297.00,0.020216
9.7825,6.5540,49.25,297.00,0.020148
9.8375,6.5540,49.25,298.00,0.020873
9.8930,6.5540,49.12,297.00,0.020720
9.9471,6.5540,49.38,297.00,0.019667
10.0015,6.5540,49.25,297.00,0.018966
10.0560,6.5540,49.50,297.00,0.020345
10.1119,6.5540,49.25,297.00,0.019931
10.1675,6.5540,49.38,297.00,0.020841
10.2225,6.5540,49.25,297.00,0.019750
10.2765,6.5540,49.25,297.00,0.019182
10.3324,6.5540,49.12,297.00,0.019995
10.3871,6.5540,49.00,298.00,0.019871
10.4414,6.5540,49.25,298.00,0.019098
10.4957,6.5540,49.25,297.00,0.019631
10.5523,6.5540,49.25,297.50,0.020755
10.6039,6.5540,49.38,298.00,0.019025
10.6565,6.5540,49.12,298.00,0.019082
10.7095,6.5540,49.38,298.00,0.020159
10.7646,6.5845,49.25,298.00,0.020194
10.8206,6.6150,49.50,297.00,0.020837
10.8765,6.6150,49.25,297.00,0.019924
10.9322,6.6150,49.25,297.00,0.020786
10.9876,6.6150,49.25,296.00,0.019878
11.0411,6.6150,49.50,296.50,0.019015
11.0962,6.6150,49.38,296.00,0.019293
11.1512,6.6150,49.62,297.00,0.019906
11.2051,6.6150,49.38,297.00,0.020112
11.2567,6.6150,49.50,297.00,0.018992
11.3105,6.6150,49.50,297.00,0.020063
11.3630,6.6150,49.38,297.00,0.019714
11.4169,6.6150,49.75,297.50,0.020213
11.4703,6.6150,49.75,297.00,0.020296
11.5240,6.6150,49.75,297.00,0.019958
11.5768,6.6150,49.88,297.00,0.019231
11.6295,6.6150,49.75,297.00,0.018928
11.6841,6.6150,49.62,297.00,0.020817
11.7394,6.6150,49.62,297.00,0.019870
11.7923,6.6205,49.75,297.00,0.019908
11.8484,6.6260,49.62,297.00,0.019731
11.9013,6.6260,49.50,297.00,0.020334
11.9550,6.6260,49.62,297.00,0.020090
12.0070,6.6260,49.38,298.00,0.019857
12.0601,6.6260,49.38,298.00,0.019639
12.1125,6.6260,49.50,298.00,0.020050
12.1671,6.6260,49.62,298.00,0.019743
12.2198,6.6260,49.75,298.00,0.019957
12.2725,6.6260,49.62,298.00,0.018964
12.3238,6.6260,49.75,298.00,0.018996
12.3785,6.6260,49.62,298.00,0.020151
12.4311,6.6260,49.75,298.00,0.019859
12.4856,6.6260,49.62,297.00,0.019340
12.5401,6.6260,49.62,297.00,0.019677
12.5968,6.6260,49.50,297.50,0.020764
12.6505,6.6260,49.38,297.50,0.020110
12.7046,6.6260,49.38,297.00,0.019006
12.7588,6.6260,49.38,297.00,0.019687
12.8138,6.6070,49.50,297.00,0.019415
12.8684,6.5880,49.50,297.00,0.019715
12.9243,6.5880,49.38,297.00,0.020014
12.9801,6.5880,49.38,297.50,0.021005
13.0349,6.5880,49.38,297.00,0.019465
13.0881,6.5880,49.50,297.00,0.018776
13.1429,6.5880,49.25,297.00,0.019554
13.1966,6.5880,49.25,297.00,0.018957
13.2513,6.5880,49.38,298.00,0.018965
13.3039,6.5880,49.50,298.00,0.019920
13.3593,6.5880,49.38,298.00,0.019828
13.4118,6.5880,49.38,298.00,0.018778
13.4678,6.5880,49.25,298.00,0.020424
13.5210,6.5880,49.25,298.00,0.018878
13.5758,6.5880,49.25,298.00,0.019624
13.6290,6.5880,49.38,298.00,0.018953
13.6845,6.5880,49.38,298.00,0.019924
13.7392,6.5880,49.25,297.00,0.019897
13.7945,6.5880,49.38,297.00,0.019486
13.8487,6.6550,49.50,297.00,0.019116
13.9050,6.7220,49.50,296.50,0.020232
13.9605,6.7220,49.25,296.50,0.020573
14.0160,6.7220,49.38,296.50,0.019743
14.0705,6.7220,49.50,296.50,0.019700
14.1272,6.7220,49.38,297.00,0.020528
14.1795,6.7220,49.62,297.00,0.019698
14.2322,6.7220,49.62,297.00,0.019050
14.2839,6.7220,49.75,297.00,0.019108
14.3367,6.7220,49.88,297.00,0.019103
14.3897,6.7220,50.00,297.00,0.020202
14.4458,6.7220,49.88,297.00,0.020574
14.5000,6.7220,49.75,297.50,0.019776
14.5535,6.7220,50.00,297.00,0.019258
14.6072,6.7220,49.75,297.00,0.019789
14.6631,6.7220,49.62,297.00,0.020541
14.7166,6.7220,49.75,296.50,0.019020
14.7719,6.7220,49.50,296.00,0.019685
14.8255,6.7220,49.38,296.00,0.019139
14.8814,6.6455,49.50,296.00,0.020198
14.9365,6.5690,49.50,296.00,0.020209
14.9920,6.5690,49.62,296.50,0.019555
15.0454,6.5690,49.75,297.00,0.018966
15.1000,6.5690,49.50,298.00,0.020452
15.1518,6.5690,49.75,298.50,0.019539
15.2046,6.5690,49.88,298.00,0.019024
15.2585,6.5690,49.75,298.00,0.019554
15.3144,6.5690,49.75,298.00,0.020249
15.3681,6.5690,49.88,298.00,0.019138
15.4240,6.5690,50.00,298.00,0.020728
15.4775,6.5690,49.62,298.00,0.019081
15.5312,6.5690,49.75,298.00,0.019659
15.5840,6.5690,49.75,298.00,0.019125
15.6390,6.5690,49.50,298.00,0.019223
15.6927,6.5690,50.00,298.00,0.019090
15.7482,6.5690,49.75,298.00,0.019846
15.8013,6.5500,49.75,298.00,0.019423
15.8561,6.5310,49.88,298.00,0.020619
15.9085,6.5310,49.62,297.00,0.019006
15.9631,6.5310,49.75,298.00,0.019525
16.0151,6.5310,49.62,297.00,0.019767
16.0684,6.5310,49.50,297.00,0.019678
16.1203,6.5310,49.75,297.00,0.019224
16.1743,6.5310,49.62,297.00,0.020171
16.2280,6.5310,49.75,296.00,0.020939
16.2842,6.5310,50.00,297.00,0.020794
16.3370,6.5310,50.00,297.00,0.020116
16.3908,6.5310,50.00,296.00,0.019990
16.4458,6.5310,49.88,296.00,0.020348
16.5004,6.5310,49.88,296.00,0.018978
16.5547,6.5310,49.88,296.00,0.019715
16.6106,6.5310,49.88,296.00,0.020137
16.6655,6.5310,49.88,296.00,0.020293
16.7203,6.5310,49.88,296.00,0.019216
16.7756,6.5310,50.00,296.00,0.020571
16.8301,6.6245,50.00,296.00,0.020295
16.8828,6.7180,50.12,296.00,0.019927
16.9374,6.7180,50.00,296.00,0.019090
16.9911,6.7180,50.00,296.00,0.019662
17.0462,6.7180,50.12,296.00,0.019921
17.1001,6.7180,50.12,296.00,0.019628
17.1553,6.7180,49.62,296.00,0.019687
17.2077,6.7180,49.75,296.50,0.019941
17.2624,6.7180,49.75,296.00,0.020119
17.3159,6.7180,49.62,296.50,0.019155
17.3700,6.7180,50.00,296.00,0.020174
17.4250,6.7180,49.88,296.00,0.020554
17.4811,6.7180,49.88,296.00,0.020067
17.5362,6.7180,50.12,296.00,0.020648
17.5923,6.7180,50.00,296.00,0.020766
17.6472,6.7180,49.88,295.00,0.020618
17.7026,6.7180,50.12,295.00,0.020069
17.7561,6.7180,49.88,295.00,0.019138
17.8116,6.7180,49.75,295.00,0.019852
17.8667,6.6410,49.88,295.00,0.019852
17.9214,6.6410,49.88,295.50,0.020293
17.9730,6.6410,50.12,296.00,0.019091
18.0265,6.6410,50.00,296.50,0.020182
18.0782,6.6410,49.88,297.00,0.019667
18.1329,6.6410,49.88,296.50,0.019376
18.1846,6.6410,49.88,297.00,0.019058
18.2393,6.6410,50.00,297.00,0.019798
18.2940,6.6410,50.00,297.00,0.020208
18.3491,6.6410,50.00,297.00,0.020662
18.4031,6.6410,50.00,297.00,0.019857
18.4599,6.6410,50.00,297.00,0.020818
18.5140,6.6410,50.12,296.50,0.019408
18.5688,6.6410,50.00,297.00,0.019172
18.6233,6.6410,49.88,297.00,0.019732
18.6798,6.6410,49.88,297.00,0.020848
18.7336,6.6410,50.00,297.00,0.019357
18.7903,6.6340,50.00,297.00,0.020386
18.8445,6.6340,50.12,296.50,0.019892
18.9007,6.6340,50.00,297.00,0.020533
18.9554,6.6340,50.12,297.00,0.020583
19.0090,6.6340,50.12,297.00,0.019809
19.0642,6.6340,50.25,297.00,0.020813
19.1201,6.6340,50.00,297.00,0.020078
19.1736,6.6340,50.00,297.00,0.019171
19.2294,6.6340,49.88,297.00,0.021034
19.2843,6.6340,49.75,297.50,0.021007
19.3408,6.6340,49.75,297.50,0.020896
19.3962,6.6340,49.88,298.00,0.021088
19.4512,6.6340,49.88,298.00,0.021451
19.5055,6.6340,50.00,297.50,0.020313
19.5599,6.6340,49.88,297.00,0.018913
19.6143,6.6340,50.00,297.00,0.019695
19.6701,6.6340,50.00,297.00,0.020268
19.7243,6.6340,50.00,297.00,0.019229
19.7801,6.6150,50.00,297.00,0.019948
19.8323,6.5960,49.88,297.00,0.018982
19.8888,6.5960,49.88,297.00,0.020941
19.9430,6.5960,50.00,297.00,0.020111
19.9971,6.5960,50.12,296.00,0.018783
20.0516,6.5960,50.00,296.00,0.020106
20.1077,6.5960,50.00,295.50,0.020698
20.1616,6.5960,50.00,295.00,0.019208
20.2178,6.5960,49.88,295.00,0.020414
20.2728,6.5960,50.12,295.00,0.020836
20.3289,6.5960,50.12,296.00,0.020707
20.3807,6.5960,50.25,296.00,0.019180
20.4345,6.5960,50.25,296.00,0.019889
20.4894,6.5960,50.12,296.00,0.020462
20.5435,6.5960,50.00,296.00,0.020709
20.5959,6.5960,49.75,296.00,0.019767
20.6487,6.5960,49.75,296.00,0.018847
20.7008,6.5960,50.00,296.00,0.019984
20.7539,6.5960,49.88,296.00,0.019999
20.8064,6.5960,49.88,296.00,0.019838
20.8621,6.5960,49.88,296.00,0.020292
20.9170,6.7440,50.00,296.00,0.020868
20.9731,6.7440,50.00,296.00,0.020116
21.0285,6.7440,50.00,296.00,0.020903
21.0853,6.7440,50.00,295.00,0.020802
21.1401,6.7440,50.00,295.00,0.020496
21.1962,6.7440,49.88,295.50,0.020997
21.2501,6.7440,49.88,296.00,0.020283
21.3049,6.7440,50.12,296.00,0.020885
21.3585,6.7440,50.12,295.50,0.020079
21.4132,6.7440,50.00,296.00,0.020948
21.4687,6.7440,50.00,295.50,0.020808
21.5251,6.7440,49.88,296.00,0.020686
21.5801,6.7440,50.25,296.00,0.021034
21.6338,6.7440,50.00,295.50,0.020058
21.6888,6.7440,50.12,295.50,0.020719
21.7455,6.7440,50.00,295.50,0.021071
21.7971,6.7440,50.50,295.50,0.019027
21.8520,6.6965,50.12,295.00,0.019805
21.9080,6.6490,50.12,295.00,0.020871
21.9634,6.6490,50.00,295.00,0.019978
22.0183,6.6490,50.00,295.50,0.020222
22.0727,6.6490,50.12,295.50,0.019995
22.1279,6.6490,50.12,296.00,0.020777
22.1840,6.6490,50.12,296.00,0.020730
22.2362,6.6490,50.00,296.00,0.019597
22.2919,6.6490,50.12,296.00,0.019869
22.3468,6.6490,50.12,296.00,0.019989
22.4003,6.6490,50.25,296.50,0.019243
22.4538,6.6490,50.00,297.00,0.020923
22.5081,6.6490,50.12,297.00,0.020979
22.5613,6.6490,50.00,297.00,0.020744
22.6157,6.6490,50.00,297.00,0.020780
22.6680,6.6490,50.25,297.00,0.019906
22.7218,6.6490,50.25,297.00,0.020108
22.7758,6.7440,50.12,297.00,0.020902
22.8316,6.7440,50.12,297.00,0.020833
22.8863,6.7440,50.12,297.00,0.020186
22.9415,6.7440,50.12,297.00,0.019971
22.9963,6.7440,50.12,297.00,0.020597
23.0527,6.7440,50.25,297.00,0.020819
23.1073,6.7440,50.00,297.00,0.019647
23.1643,6.7440,50.00,297.50,0.021373
23.2197,6.7440,50.12,298.00,0.020793
23.2748,6.7440,50.12,298.00,0.019882
23.3273,6.7440,50.12,297.50,0.019849
23.3842,6.7440,50.00,297.00,0.021056
23.4395,6.7440,50.00,297.00,0.020639
23.4965,6.7440,49.75,297.00,0.020908
23.5518,6.7440,50.25,297.00,0.020695
23.6084,6.7440,50.12,297.50,0.020967
23.6620,6.7440,50.12,297.00,0.019924
23.7163,6.7440,50.00,297.00,0.018970
23.7705,6.7440,50.00,297.00,0.019781
23.8264,6.7440,50.12,297.50,0.020264
23.8804,6.6735,50.12,298.00,0.020884
23.9354,6.6030,50.12,297.00,0.019708
23.9901,6.6030,50.25,297.50,0.019962
24.0456,6.6030,50.38,298.00,0.020937
24.1005,6.6030,50.00,297.50,0.020542
24.1563,6.6030,50.00,298.00,0.020539
24.2079,6.6030,50.00,298.00,0.019134
24.2637,6.6030,50.12,297.50,0.020687
24.3176,6.6030,50.00,297.00,0.019288
24.3724,6.6030,49.88,297.50,0.019281
24.4261,6.6030,50.00,297.50,0.020157
24.4825,6.6030,50.00,298.00,0.020029
24.5370,6.6030,50.12,297.50,0.020222
24.5919,6.6030,50.12,298.00,0.020939
24.6462,6.6030,50.00,297.00,0.020531
24.7004,6.6030,49.88,297.50,0.019893
24.7547,6.6030,50.00,298.00,0.019872
24.8101,6.5995,50.12,297.00,0.020235
24.8646,6.5960,50.12,297.00,0.019378
24.9201,6.5960,50.00,297.00,0.019634
24.9746,6.5960,50.12,297.00,0.019610
25.0303,6.5960,50.25,298.00,0.019979
25.0813,6.5960,50.12,298.00,0.019020
25.1361,6.5960,50.38,297.00,0.020928
25.1879,6.5960,50.12,296.50,0.019034
25.2439,6.5960,50.12,296.50,0.020172
25.2971,6.5960,50.25,296.00,0.019094
25.3507,6.5960,50.38,296.00,0.019767
25.4031,6.5960,50.25,296.00,0.019832
25.4591,6.5960,50.25,296.50,0.022526
25.5126,6.5960,50.12,297.00,0.020699
25.5656,6.5960,50.25,297.00,0.019237
25.6176,6.5960,50.12,297.00,0.019409
25.6712,6.5960,50.12,297.00,0.019769
25.7242,6.5960,50.12,297.50,0.020389
25.7795,6.5960,50.25,297.00,0.020114
25.8325,6.6090,50.12,297.00,0.019805
25.8880,6.6220,50.12,297.00,0.019699
25.9413,6.6220,50.12,297.00,0.019082
25.9967,6.6220,50.38,297.00,0.019140
26.0495,6.6220,50.25,297.00,0.018997
26.1031,6.6220,50.25,297.00,0.020157
26.1574,6.6220,49.88,297.50,0.019358
26.2118,6.6220,50.12,298.00,0.019717
26.2643,6.6220,50.00,298.00,0.019584
26.3209,6.6220,50.00,298.50,0.020717
26.3760,6.6220,50.00,298.50,0.019976
26.4309,6.6220,50.00,299.00,0.019786
26.4846,6.6220,50.12,299.00,0.019857
26.5398,6.6220,50.00,299.00,0.019874
26.5923,6.6220,50.00,299.00,0.019752
26.6454,6.6220,50.00,299.50,0.019223
26.6973,6.6220,50.12,299.50,0.019070
26.7505,6.6545,50.12,300.00,0.019125
26.8037,6.6870,50.12,300.00,0.019996
26.8567,6.6870,50.12,300.00,0.019052
26.9085,6.6870,50.12,300.00,0.019052
26.9610,6.6870,50.12,300.00,0.019022
27.0126,6.6870,50.12,300.00,0.018816
27.0673,6.6870,50.25,299.00,0.019809
27.1216,6.6870,50.00,299.50,0.019274
27.1767,6.6870,50.00,299.50,0.019116
27.2316,6.6870,50.00,299.50,0.020024
27.2880,6.6870,50.12,299.00,0.020028
27.3431,6.6870,50.00,299.00,0.020010
27.3990,6.6870,50.12,298.00,0.019738
27.4547,6.6870,50.12,298.00,0.021083
27.5106,6.6870,50.00,297.50,0.019773
27.5648,6.6870,50.25,298.00,0.019047
27.6201,6.6870,50.12,298.00,0.019058
27.6754,6.6870,50.12,298.00,0.020294
27.7315,6.6870,50.00,297.50,0.019874
27.7869,6.6545,50.12,297.00,0.020018
