CommRound,Acc,Loss,Time
0,8.92,2.311679680136186,1.9814045429229736
1,15.77,2.8331745727152766,9.125020503997803
2,18.12,2.767564028124266,9.82568359375
3,19.74,2.748134175433388,9.840463638305664
4,19.84,2.693349328222154,9.80930781364441
5,19.88,2.6161558628082275,9.655983686447144
6,19.87,2.593879503539846,9.713871955871582
7,20.23,2.562490752980679,9.749918460845947
8,21.75,2.338561749156517,9.713327169418335
9,23.2,2.2270857231526433,9.721723556518555
10,25.08,2.1338108913807927,9.54526948928833
11,29.09,2.0074068820929227,9.672730207443237
12,33.38,1.9482537492921082,9.724666118621826
13,35.39,1.9106586824489544,9.663834810256958
14,37.47,1.848106895821004,9.609732866287231
15,39.86,1.8152783656422096,10.05082106590271
16,44.45,1.6930777604066873,9.754732608795166
17,46.72,1.676440474353259,9.76352596282959
18,49.41,1.5811327303512186,9.73001766204834
19,47.98,1.5828933625281612,10.0656099319458
20,46.9,1.614954568162749,9.796185970306396
21,46.39,1.6140645244453526,9.713933944702148
22,45.46,1.72878197175038,9.82057785987854
23,47.44,1.7192654700218877,9.717991828918457
