CommRound,Acc,Loss,Time
0,10.31,2.3061443672904485,1.9943008422851562
1,32.91,1.9956331011615223,8.904080629348755
2,59.03,1.2407044806057894,11.02298378944397
3,69.01,0.9016121512726892,9.56229305267334
4,76.8,0.6700011031537116,9.57460641860962
5,81.24,0.5599575495418114,9.990317821502686
6,81.41,0.5565127841656721,9.35240364074707
7,78.94,0.6456491918880728,9.704095363616943
8,83.17,0.5258111585921879,9.514844417572021
9,77.01,0.7509405418664594,9.52800440788269
10,85.46,0.4741434888749183,9.411247253417969
11,74.23,0.9150376836710339,9.27231216430664
12,78.67,0.7624999024445498,9.382323980331421
13,67.36,1.2953024370760857,9.297253370285034
14,74.54,0.9583344800940042,9.679018259048462
15,75.35,0.9217476759907566,9.421818494796753
