CommRound,Acc,Loss,Time
0,10.32,2.3194319749180274,3.5814402103424072
1,10.28,2.8610181627394278,9.190158367156982
2,10.44,2.9849011324629,9.198946714401245
3,11.1,3.015523732463016,9.505900144577026
4,12.16,3.0315708359585534,9.78547477722168
5,12.63,3.0379918858974793,11.989806890487671
6,13.03,3.039114185526401,12.792444229125977
7,13.22,3.037320082700705,9.96004033088684
8,13.35,3.0340292604663706,9.934691667556763
9,13.43,3.030035082297989,10.570598602294922
10,13.43,3.0258059622366216,10.45192289352417
11,13.44,3.021593794038024,10.526728391647339
12,13.46,3.0175961210757873,10.160723209381104
13,13.47,3.0136682926854,9.972248554229736
14,13.47,3.010146313075778,10.178818225860596
15,13.48,3.006946364535561,9.553920984268188
16,13.47,3.00406648237494,10.13342571258545
17,13.48,3.001372530490537,9.4379243850708
18,13.49,2.999002906340587,10.472408294677734
19,13.53,2.9968824597853647,9.747597932815552
20,13.55,2.9947141695626174,10.442238330841064
21,13.56,2.992658612094348,9.29616379737854
22,13.56,2.991188858128801,9.832853317260742
23,13.57,2.988993979707549,9.504138708114624
24,13.59,2.987574399272098,10.079185009002686
25,13.64,2.985734806785101,10.328340768814087
26,13.65,2.9843729236457923,10.940670251846313
27,13.67,2.983458694023422,9.841875791549683
28,13.68,2.9826241565656058,10.029640674591064
29,13.68,2.982924011689198,11.096511363983154
30,13.7,2.978887742078757,10.196950197219849
