CommRound,Acc,Loss,Time
0,8.92,2.311679680136186,2.01012921333313
1,18.97,2.479433077800123,9.57599663734436
2,19.72,2.5353012537654442,10.151785373687744
3,20.55,2.371560271782211,10.204230070114136
4,24.96,2.1398479018030288,10.435600996017456
5,28.74,2.019869686682013,10.12203860282898
6,34.48,1.7713022548941117,10.140422344207764
7,37.76,1.674758168715465,9.970114469528198
8,40.43,1.5921378528015524,10.427435874938965
9,46.4,1.62063044385065,10.153136253356934
10,49.35,1.55670673183248,10.083418130874634
11,53.3,1.4742819131175173,10.166048526763916
12,56.18,1.441989848885355,10.510411739349365
13,57.54,1.4194894531105138,10.437180757522583
14,55.38,1.4481281630600555,10.156558513641357
15,58.77,1.3615135060080998,10.458240509033203
16,56.57,1.386958377270759,10.292006731033325
17,55.12,1.4096843743626075,10.307985305786133
18,56.73,1.3485269003276583,10.03283166885376
19,57.16,1.3292110667953008,10.510874509811401
20,57.01,1.304944313779662,10.280337810516357
