CommRound,Acc,Loss,Time
0,10.09,2.3118910457514508,1.9896466732025146
1,19.7,2.754545193684252,10.161741971969604
2,19.83,2.6026981691770916,10.25695276260376
3,19.82,2.359474058392682,10.178329229354858
4,19.77,2.331473486332954,10.339097261428833
5,20.27,2.2064906056923204,10.282792568206787
6,22.71,2.157643001290816,10.313610792160034
7,30.8,2.028977034967157,10.280077457427979
8,45.47,1.8139835249019574,10.404410600662231
9,44.51,1.7750250900848001,10.366488933563232
10,41.66,1.835123261318931,10.628450870513916
11,43.29,1.807079570202888,10.388411283493042
12,38.58,1.9615885396546955,10.216468095779419
13,37.24,2.0582267619386503,10.360995531082153
