CommRound,Acc,Loss,Time
0,16.37,2.3024800035017954,3.1514313220977783
1,39.69,1.8326903430721428,11.286179065704346
2,71.83,0.7998108188562756,10.006079196929932
3,78.69,0.6386461661586279,10.441318988800049
4,83.16,0.5277303909010524,11.777570724487305
5,83.2,0.5459408956709542,10.99811339378357
6,87.09,0.4337974922330696,10.707003831863403
7,85.75,0.473396964300471,9.82377314567566
8,85.73,0.5107140425073949,9.895369529724121
9,88.39,0.4029445198800745,10.659856796264648
10,89.23,0.39551372717641575,10.117301225662231
11,88.92,0.39605384819869754,9.705837726593018
12,88.77,0.3999067723892535,9.84410309791565
13,88.01,0.4317380806454752,10.01364541053772
14,88.67,0.41060356010647514,10.238208770751953
15,88.91,0.3993336044110452,9.830767631530762
