CommRound,Acc,Loss,Time
0,8.49,2.3239891408364985,3.057460069656372
1,54.4,1.5589674515060232,52.78695750236511
2,68.63,0.8868235327020476,55.601462841033936
3,77.64,0.6527928923127018,50.66748857498169
4,81.68,0.5941854687997058,53.94222116470337
5,87.14,0.42156660410610935,55.16640639305115
6,89.6,0.36579493169165866,50.45346426963806
7,88.87,0.40588460617427585,56.550341844558716
8,88.84,0.43927971172276176,54.62657070159912
9,91.0,0.35659779236899525,62.20604228973389
10,90.54,0.3925223668825023,51.670597314834595
11,90.01,0.42936300330712823,59.83894085884094
12,90.72,0.402582804012242,57.34717631340027
13,90.08,0.43563863381601964,56.52479529380798
14,90.44,0.42316482877476685,58.32021689414978
15,90.57,0.4228539744604237,55.793015241622925
16,90.67,0.4196217148564756,51.86798644065857
17,90.74,0.4200059614981277,61.04823327064514
18,90.79,0.421205839955637,57.514322996139526
19,90.83,0.42240435333002974,59.59091234207153
20,90.85,0.4235029513240332,46.949832916259766
21,90.94,0.42485299309762786,53.709413290023804
22,90.99,0.4259596550306659,58.026697397232056
23,91.0,0.42702967790250157,56.98752951622009
24,91.02,0.42791905809971914,59.29899978637695
25,91.03,0.42880240533665953,48.54276466369629
26,91.08,0.4296112963340328,53.96460819244385
27,91.12,0.43037397280347217,52.21819472312927
28,91.15,0.43108841480946614,56.87778353691101
29,91.19,0.4317800426160139,61.54233455657959
30,91.18,0.43240680537610965,50.37042021751404
