CommRound,Acc,Loss,Time
0,9.1,2.3040704666813716,2.017082691192627
1,20.76,2.286551981032649,27.005355834960938
2,34.54,2.14350785333899,28.457630395889282
3,45.65,1.8441221804558476,31.08996343612671
4,56.3,1.530701397340509,21.96114945411682
5,63.4,1.2811160925068432,28.904344081878662
6,65.68,1.19813797368279,27.859778881072998
7,67.66,1.0841172480884986,22.436635971069336
8,67.9,1.215857500139671,23.7013840675354
9,67.41,1.3575698567342154,24.740646839141846
10,72.59,1.1222642829901055,26.610082149505615
11,75.17,0.9715712734415561,30.088674545288086
12,74.31,1.0495541323966617,29.78222966194153
13,74.83,1.067035414750063,23.5986909866333
14,78.25,0.9270923844998396,34.061131954193115
15,77.11,1.0452635256172735,29.137749195098877
16,77.65,1.0447874559631831,31.075369358062744
17,78.03,1.0522921355087547,28.087218523025513
18,78.24,1.0548049243567865,24.17283535003662
19,78.35,1.0587533865171144,22.070672035217285
20,78.5,1.062952523744559,24.224496126174927
21,78.65,1.067000622802143,27.553505420684814
22,78.79,1.0716969446290898,31.30952262878418
23,78.88,1.0762391924103605,25.762120008468628
24,78.93,1.080044586635843,29.288336753845215
25,78.96,1.0838213572396507,25.839223861694336
26,79.0,1.0882419396804859,22.381503582000732
27,79.02,1.0917783273926265,27.741787910461426
28,79.08,1.095338605061362,27.337668418884277
29,79.11,1.098802910764006,26.595078706741333
30,79.17,1.1017520518242558,21.11505436897278
