CommRound,Acc,Loss,Time
0,10.78,2.3186896843246267,3.79251766204834
1,39.0,1.8225463040267365,43.6990487575531
2,65.56,0.9216275309460072,44.09455323219299
3,75.22,0.7074618588520002,43.48294806480408
4,77.46,0.7004021817370306,57.51524043083191
5,80.5,0.6394719298504576,36.851341247558594
6,82.18,0.5911347265296345,46.148115396499634
7,82.47,0.578777465639235,42.3101019859314
8,77.78,0.73252787092064,44.1064977645874
9,81.25,0.6456576317925996,49.64433145523071
10,82.45,0.6305046405030202,50.813520431518555
11,85.46,0.5304850215398813,44.51355290412903
12,86.69,0.4917562691659867,46.09870433807373
13,87.88,0.44944232952179786,41.80685997009277
14,87.98,0.4427532056653047,49.12052011489868
15,87.72,0.45569251067464867,40.21872043609619
16,87.67,0.4573062115077731,47.46194815635681
17,87.7,0.45478153738039956,42.94017148017883
18,87.89,0.44824041171541695,48.520063638687134
19,88.05,0.4410215561997287,50.76650786399841
20,88.2,0.43407518345909785,45.27548813819885
21,88.26,0.4280701935102668,45.31288290023804
22,88.35,0.4238272588464278,42.9887421131134
23,88.42,0.42019948617944236,47.27946496009827
24,88.45,0.4160845793217798,36.207481384277344
25,88.46,0.41295537369066404,51.50923132896423
26,88.5,0.410337389222806,39.254321813583374
27,88.53,0.4077790065232334,44.07465481758118
28,88.62,0.4055392627804717,42.110289335250854
29,88.7,0.4036988208093975,44.97348189353943
30,88.7,0.401657436491002,39.32479810714722
