CommRound,Acc,Loss,Time
0,12.87,2.3867126114760775,2.201871871948242
1,59.02,2.035264083856269,7.398008823394775
2,71.85,1.2192750641062289,7.289306163787842
3,73.64,1.2164419078374211,7.053213357925415
4,75.89,1.0561675589673127,6.72378396987915
5,77.4,0.9572046537753902,7.092230558395386
6,77.26,0.980080943318862,7.031184196472168
7,75.37,1.090265182377417,6.973115682601929
8,76.47,1.0222638015505634,7.674493074417114
9,77.22,0.9945187382871592,6.9832189083099365
10,76.51,1.0342231302321712,6.980629920959473
11,75.94,1.0723588068651249,7.441856622695923
12,76.61,1.0384126886536804,6.813948392868042
13,76.35,1.055763016961798,7.168406963348389
14,76.49,1.0504594577264181,7.2349114418029785
15,76.23,1.0634319488006303,7.603785514831543
16,76.4,1.0645332683490802,7.2313072681427
17,76.53,1.063482777793196,7.4781270027160645
18,76.57,1.0658889499646198,8.202849864959717
19,76.6,1.0690834488295302,8.857957601547241
20,76.68,1.0699444971507108,8.032365083694458
21,76.81,1.0674428526736512,7.407662868499756
22,76.93,1.0628390538541577,7.468774318695068
23,77.1,1.0567994166778614,7.5815346240997314
24,77.29,1.0497389071727101,7.624098062515259
25,77.43,1.0424325098342533,7.754669904708862
26,77.62,1.0356059568592264,7.238179445266724
27,77.82,1.0296722692024858,7.2254555225372314
28,77.95,1.0247230209127258,7.611118793487549
29,78.04,1.0206663774538645,7.0181097984313965
30,78.08,1.0173642139268826,7.381004810333252
