CommRound,Acc,Loss,Time
0,7.95,2.306560763829871,1.9063084125518799
1,48.18,1.5961299244361589,43.81844401359558
2,69.12,0.8398706392396854,45.312108278274536
3,74.61,0.7198050414459615,45.570496559143066
4,82.75,0.5219989879221856,45.61965322494507
5,83.53,0.5134243465299848,48.95363116264343
6,82.94,0.5712223546225813,43.628342151641846
7,85.24,0.5188124802293657,45.20756697654724
8,86.42,0.5323318709395354,48.09211802482605
9,84.12,0.6577265141885492,44.91576027870178
10,88.05,0.47776622820315484,35.91624641418457
11,88.16,0.5309645174236237,51.88834238052368
12,87.69,0.5619004356521594,42.87417411804199
13,87.91,0.5536875108469136,39.12750244140625
14,88.12,0.5614522956783259,42.913352251052856
15,88.39,0.5606083464396151,40.82831811904907
16,88.39,0.5700017646709575,46.912577390670776
17,88.64,0.5681523077095612,44.27550745010376
18,88.72,0.5728555764484254,50.48777770996094
19,88.8,0.5757529488469981,45.79226088523865
20,88.86,0.5793142807728882,46.090128898620605
21,88.88,0.5824533070001421,48.55312156677246
22,88.88,0.5855813912953003,49.69594168663025
23,88.89,0.588610687540679,47.086408376693726
24,88.9,0.5914782129605359,48.69946074485779
25,88.91,0.5942602854080593,44.500075578689575
26,88.91,0.5970112068366401,40.657768964767456
27,88.92,0.5996505435603329,48.99432158470154
28,88.96,0.6021816953073574,42.08353042602539
29,88.97,0.6045358033402811,47.79248094558716
30,88.98,0.6068360195318355,45.38902163505554
