exp100,run1,47.467740297317505
exp100,run1,59.75974130630493
exp101,run1,59.53966999053955
exp102,run1,76.97359299659729
exp103,run1,60.4579963684082
exp100,run1,60.91758751869202
exp101,run1,158.56715869903564
exp102,run1,19.657148361206055
exp103,run1,26.47644567489624
exp104,run1,26.171303749084473
exp105,run1,27.71979808807373
exp106,run1,27.564597129821777
exp107,run1,27.59376096725464
exp108,run1,28.360942602157593
exp109,run1,46.779438972473145
exp110,run1,47.14763355255127
exp111,run1,47.406829833984375
exp112,run1,50.223227739334106
exp113,run1,49.8692991733551
exp114,run1,49.89794373512268
exp100,run1,64.22872471809387
exp100,run1,57.065982818603516
exp101,run1,56.989232778549194
exp102,run1,15.891237735748291
exp100,run1,52.7126305103302
exp101,run1,172.44124960899353
exp102,run1,15.934561252593994
exp103,run1,18.87018346786499
exp104,run1,19.52309823036194
exp105,run1,19.178449153900146
exp106,run1,19.951090574264526
exp107,run1,19.428005933761597
exp108,run1,21.37834095954895
exp109,run1,29.8926944732666
exp110,run1,30.422813892364502
exp111,run1,30.7431743144989
exp112,run1,33.19941759109497
exp113,run1,32.42339301109314
exp114,run1,31.289702892303467
exp100,run1,50.3539834022522
exp101,run1,54.293299436569214
exp102,run1,92.03927063941956
exp103,run1,96.89060044288635
exp104,run1,71.53493928909302
exp105,run1,188.95871591567993
exp106,run1,164.21397638320923
exp107,run1,169.7323703765869
exp108,run1,174.74515318870544
exp109,run1,174.41727709770203
exp110,run1,176.9918441772461
exp111,run1,15.678163051605225
exp102,run1,87.85381817817688
exp103,run1,97.51822829246521
exp104,run1,77.45691061019897
exp105,run1,19.1926589012146
exp106,run1,126.76653242111206
exp107,run1,126.79568552970886
exp108,run1,34.94932317733765
exp109,run1,92.97549033164978
exp110,run1,86.78925633430481
exp111,run1,97.87894225120544
exp112,run1,98.69942045211792
exp106,run1,19.212579250335693
exp107,run1,18.27355122566223
exp100,run1,806.0232572555542
exp101,run1,859.0803472995758
exp102,run1,1315.234478712082
exp103,run1,1248.7164981365204
exp104,run1,1318.765839099884
exp105,run1,533.7266011238098
exp106,run1,259.3683145046234
exp107,run1,263.99154567718506
exp108,run1,253.45770740509033
exp109,run1,251.63606595993042
exp110,run1,1395.207503080368
exp111,run1,1401.5577111244202
exp112,run1,1407.559351682663
exp113,run1,1363.5990629196167
exp114,run1,1360.382521867752
exp115,run1,1305.9234054088593
exp116,run1,1249.0789535045624
exp117,run1,265.82821702957153
exp118,run1,264.61169815063477
exp119,run1,2584.990669488907
exp120,run1,2498.114232778549
exp121,run1,223.7945683002472
exp122,run1,236.5799150466919
exp123,run1,276.40873885154724
exp124,run1,284.36036467552185
exp125,run1,278.15495347976685
exp126,run1,308.7544128894806
exp127,run1,291.487233877182
exp128,run1,306.44139337539673
exp129,run1,292.57917833328247
exp130,run1,308.62773609161377
exp131,run1,292.39125323295593
exp132,run1,291.9001865386963
exp133,run1,457.57511353492737
exp134,run1,465.51287174224854
