CommRound,Acc,Loss,Time
0,7.95,2.306560763829871,2.0465033054351807
1,56.98,1.2177052226247667,42.58637857437134
2,78.28,0.6400833331708666,46.417027711868286
3,81.81,0.5765962166876732,48.653769969940186
4,87.1,0.42172769683448574,51.652672290802
5,87.22,0.43521526908572716,44.888243198394775
6,87.49,0.4687246362195362,51.64383268356323
7,89.19,0.40923352506530436,43.548189878463745
8,87.79,0.5195341875800227,48.91892099380493
9,87.8,0.5080427128727301,47.6690948009491
10,88.78,0.458646024872042,44.637399196624756
11,89.01,0.48223674151150486,44.227081537246704
12,88.53,0.520301999594969,43.681145429611206
13,88.6,0.5347073530377466,46.11692214012146
14,88.64,0.5466109552432464,45.39409685134888
15,88.63,0.5557853711556785,53.26973271369934
16,88.69,0.5637735438686383,44.11401867866516
17,88.76,0.5705870355986342,39.08353567123413
18,88.81,0.5766918149930013,41.321685552597046
19,88.82,0.5819986464950857,48.02259135246277
20,88.84,0.586592999581672,40.09072709083557
21,88.92,0.5907131538172311,40.86516618728638
22,88.94,0.5943988444212871,43.971768856048584
23,88.97,0.5975824526593655,41.50176286697388
24,88.97,0.6005451764581324,53.98622536659241
25,89.01,0.6033319763933556,42.13665533065796
26,89.0,0.6059212606824651,46.97666788101196
27,89.02,0.6083480401223973,47.194169759750366
28,89.01,0.6106494354862201,38.73807072639465
29,89.04,0.6128324873839752,43.100006341934204
30,89.04,0.6148204356431961,43.911933183670044
