CommRound,Acc,Loss,Time
0,10.78,2.3186896843246267,2.871922254562378
1,39.18,1.8071577714968332,42.80405354499817
2,65.4,0.930485374565366,46.21164131164551
3,75.7,0.7038663914309272,47.477283000946045
4,75.64,0.7776989916080161,50.434133768081665
5,80.17,0.6981921844844576,46.11540627479553
6,79.93,0.6508682711592203,42.78514218330383
7,82.33,0.6004940968336938,41.45007252693176
8,75.92,0.8441895455876484,38.35426163673401
9,80.11,0.7221358228899255,40.27963137626648
10,80.57,0.7493639087563828,43.78214931488037
11,85.15,0.6087813610328904,49.81004357337952
12,86.45,0.5815919098220294,46.45548439025879
13,85.28,0.6054877780283554,39.35529899597168
14,88.61,0.4772202239100692,39.33942246437073
15,88.41,0.4861562474618984,43.2654926776886
16,86.27,0.6154236044687561,53.01604771614075
17,87.37,0.5758699319690843,44.94764447212219
18,87.21,0.6009021596629408,47.082977294921875
19,87.79,0.5847330825238288,37.18720602989197
