CommRound,Acc,Loss,Time
0,10.81,2.3020865555051007,2.3507814407348633
1,69.9,0.9308469635021838,9.967344999313354
2,76.98,0.709137551392181,10.85707974433899
3,83.9,0.5105947496581681,10.110572338104248
4,86.49,0.4306778991241244,9.96401309967041
5,87.48,0.4102654859329326,10.281708478927612
6,89.26,0.3582130682100601,11.78357219696045
7,90.26,0.328881146244799,9.989460229873657
8,90.21,0.3317528189737586,10.011653184890747
9,90.19,0.33427906602243834,10.623369455337524
10,90.18,0.33659999027753934,11.83061957359314
11,90.12,0.3383875337865534,10.934797286987305
12,90.14,0.33983056011456475,10.453720808029175
13,90.17,0.34086846416415295,10.422722339630127
14,90.16,0.34200743095407005,10.227533102035522
15,90.22,0.34287714401755154,10.169731855392456
16,90.25,0.34396817943057684,10.852908372879028
17,90.31,0.3446943729031312,10.201036930084229
18,90.3,0.3453873381065794,11.011378765106201
19,90.35,0.3461336372538081,10.460340023040771
20,90.4,0.3469941519625202,10.041847229003906
21,90.43,0.34756379786737357,10.431064128875732
22,90.46,0.3482428419910654,11.398634195327759
23,90.49,0.3487235914349933,10.873420000076294
24,90.51,0.349429713444242,10.580575227737427
25,90.53,0.349970499218642,10.513764142990112
26,90.54,0.3503359995923842,11.676193714141846
27,90.57,0.35083564620795127,12.089444637298584
28,90.58,0.35126448719750475,11.641853094100952
29,90.6,0.3514607837777349,10.885304927825928
30,90.63,0.35199504232482065,11.780084609985352
