CommRound,Acc,Loss,Time
0,10.81,2.3020865555051007,2.208076000213623
1,66.21,1.034416843818713,10.078678607940674
2,82.68,0.5782539872806284,10.17749285697937
3,85.87,0.448917069201228,10.12675166130066
4,89.72,0.3409841181356696,10.19577431678772
5,90.07,0.3252665544329565,9.947478771209717
6,91.09,0.305073111848552,10.035780191421509
7,91.39,0.2943761106816274,10.046568155288696
8,91.28,0.300498641815178,10.189342260360718
9,91.4,0.3023104045563672,10.192751169204712
10,91.39,0.30359755316749215,10.58921194076538
11,91.44,0.3048584437634371,10.142287969589233
12,91.46,0.30590490363184597,10.194383382797241
13,91.47,0.30648904800697974,10.010348081588745
14,91.46,0.30706368634312214,10.138155460357666
15,91.48,0.3076939557537531,10.193885564804077
16,91.51,0.30828580850310905,9.935831546783447
17,91.54,0.30880811105517647,10.282304286956787
18,91.57,0.3094700212955852,10.180464506149292
19,91.61,0.31011036519385593,10.497107744216919
20,91.63,0.3105350836899273,9.991699695587158
21,91.63,0.3110626716744391,10.244718790054321
22,91.61,0.31157142469140736,10.24407172203064
23,91.67,0.31212457885399836,10.280637741088867
24,91.67,0.3125153433154278,10.006249189376831
25,91.69,0.3129010895809418,10.094285488128662
26,91.7,0.3134437631167283,10.089415311813354
27,91.72,0.31367868089553297,10.386674880981445
28,91.72,0.31404241960778645,10.407256364822388
29,91.73,0.3143743354049099,10.507866144180298
30,91.73,0.3147774030825807,10.445085525512695
