CommRound,Acc,Loss,Time
0,9.75,2.301532458655442,2.6636440753936768
1,61.3,1.2426646495167213,10.615983963012695
2,69.62,0.9225092884860461,10.705463886260986
3,78.04,0.6547764943370337,11.366907358169556
4,81.23,0.5894971689845943,10.843498229980469
5,81.7,0.6549319017537033,11.01694917678833
6,85.89,0.46610227840233454,11.17266058921814
7,88.19,0.4035739423353461,11.73309063911438
8,86.94,0.45940588650446906,11.178141832351685
9,90.03,0.3587423047593123,10.837138891220093
10,89.59,0.3719174420060236,11.16631269454956
11,89.95,0.3628585420643227,11.008421421051025
12,90.49,0.3498126834017944,11.208887815475464
13,90.6,0.34558874361594266,10.670488357543945
14,90.75,0.3429112705060198,11.227834939956665
15,90.83,0.34076198923719836,11.976866245269775
16,90.88,0.3388254791733962,11.600759983062744
17,90.98,0.3374466474014747,11.756616830825806
18,91.01,0.3363895450919112,11.961997747421265
19,91.04,0.3351515626086842,12.224887132644653
20,91.07,0.33451694009613386,11.411925077438354
21,91.07,0.33400620911506157,10.93960189819336
22,91.07,0.3334173926541322,11.23986530303955
23,91.09,0.3329103299051146,11.25155258178711
24,91.11,0.332417432996857,11.786982774734497
25,91.11,0.3318357683859671,11.720252752304077
26,91.14,0.3313957561703422,11.484909772872925
27,91.16,0.33092269735245766,11.790682554244995
28,91.18,0.3306536457348096,11.410582780838013
29,91.21,0.330173200680108,11.925798892974854
30,91.21,0.3298911418341383,11.070148706436157
