CommRound,Acc,Loss,Time
0,8.92,2.311679680136186,2.006101608276367
1,18.86,2.5807610101337675,9.664270877838135
2,19.72,2.51291726510736,9.90854549407959
3,20.59,2.314824496643453,9.700300455093384
4,24.75,2.1475645167918147,9.622212171554565
5,30.39,1.9428298307370535,9.982775211334229
6,32.24,1.8991033034988596,9.967686414718628
7,35.69,1.748605186426187,9.753365755081177
8,35.11,1.75265454944176,10.055856943130493
9,36.77,1.6974091046973119,9.76411485671997
10,41.91,1.5421007947076726,9.820758819580078
11,44.33,1.4977498733544652,9.906209230422974
12,49.68,1.4322258324562749,9.653756856918335
13,52.99,1.4334044637559336,9.830465316772461
14,56.7,1.3996831012677542,9.898540496826172
15,57.51,1.363096235673639,9.985324144363403
16,57.02,1.3874747270270238,9.919986248016357
17,59.91,1.2925002303304551,9.862884998321533
18,57.45,1.3292421970186354,9.823117733001709
19,57.18,1.3300903982753995,9.68446969985962
20,59.67,1.2538962371741669,10.153584241867065
21,58.59,1.2643803146821033,10.027782678604126
22,59.37,1.2442264828500869,10.1535005569458
