CommRound,Acc,Loss,Time
0,10.32,2.3257399933247624,2.8475232124328613
1,10.28,2.9223193066029607,8.722778558731079
2,10.29,2.9296239478678645,10.307155847549438
3,11.64,2.9478300040281273,9.840312242507935
4,12.91,2.9595755927170377,10.436244487762451
5,13.75,2.9664734073832064,10.852696657180786
6,14.37,2.9687559785722177,10.419012308120728
7,14.77,2.9672876189026653,10.647442817687988
8,14.95,2.9675116840797133,10.194589138031006
9,15.06,2.968659965297844,9.771981716156006
10,15.04,2.9789145113546636,9.063629627227783
11,14.99,2.985941192771815,8.89764142036438
12,15.21,2.988447545449945,9.37422490119934
13,15.59,2.9833725041980985,9.337054252624512
14,15.96,2.9773446698732013,9.76330828666687
15,16.39,2.9680266802824,9.670390129089355
16,16.7,2.956566083280346,9.417553901672363
17,17.14,2.942311968984483,9.346134424209595
18,17.45,2.9311100108714045,9.19775652885437
19,17.68,2.9170138111597375,9.586360692977905
20,17.78,2.906886689270599,8.904832601547241
21,17.88,2.8963742407062387,9.435101985931396
22,18.01,2.8861193053330045,9.786785364151001
23,18.06,2.881262957295285,9.17796516418457
24,18.21,2.8711997346033025,10.037078142166138
25,18.33,2.8637480765958374,9.513247728347778
26,18.41,2.8572295677812796,9.683646202087402
27,18.53,2.851132700714884,9.383575201034546
28,18.62,2.8462461308587956,9.719608783721924
29,18.61,2.83949744248692,9.42880368232727
30,18.63,2.836798806733723,9.796384572982788
