CommRound,Acc,Loss,Time
0,9.74,2.3088029879557936,3.8110384941101074
1,10.28,2.7925523866581012,16.17597460746765
2,10.97,2.9278778184818317,16.096139430999756
3,11.4,2.9624991266033316,16.214603900909424
4,11.82,2.978645723077315,15.841239213943481
5,12.0,2.9878054178213773,15.809950113296509
6,12.25,3.000879314881337,16.12286400794983
7,12.13,2.979908701739734,15.988131999969482
8,12.67,2.9804715084124216,15.9776029586792
9,12.33,3.0266393649427195,15.853033065795898
10,13.23,2.9781587365307387,15.9398672580719
11,14.1,2.9985261838647386,16.15407371520996
12,18.72,2.9504069436954548,16.029521703720093
13,11.73,3.1672131894510005,16.415566205978394
14,17.32,2.9815509560741957,16.06265640258789
15,16.57,3.0174690288833426,15.860335111618042
16,13.06,3.197717889954772,18.451378107070923
17,14.95,3.120268275466146,17.759406089782715
18,17.57,3.0181704653969295,17.471768856048584
19,18.16,3.001979782611509,17.600038290023804
20,14.53,3.225011001659345,17.788694858551025
21,12.95,3.3624199945715407,17.79224157333374
22,16.27,3.1470532598374765,17.88305974006653
23,16.42,3.174828773812403,19.514194011688232
24,18.0,3.1687189929092985,16.24750828742981
25,14.44,3.4810103404371042,16.506657123565674
26,15.8,3.344238060939161,17.17302703857422
27,15.65,3.3889924091628836,17.154664039611816
28,17.62,3.0473881884466243,18.14636731147766
29,16.58,3.2962596144857286,18.21634864807129
30,16.57,3.33848593506632,18.15861201286316
