Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
0.2186,0.0000,60.15,124.50,0.030739
0.3275,2.4430,60.15,125.00,0.029696
0.4274,4.8860,59.88,125.00,0.029851
0.5254,4.8860,60.15,125.00,0.029355
0.6231,4.8860,60.69,125.00,0.030041
0.7191,4.8860,60.69,126.00,0.029368
0.8188,4.8860,60.95,126.00,0.029899
0.9142,4.8860,60.42,126.00,0.029391
1.0155,4.8860,60.42,126.00,0.029302
1.1189,4.8860,60.69,126.00,0.028737
1.2206,4.8860,60.95,126.00,0.028705
1.3214,5.3610,60.69,126.00,0.029809
1.4273,5.8360,60.95,126.00,0.029363
1.5301,5.8360,60.69,126.00,0.029918
1.6350,5.8360,61.22,126.00,0.031613
1.7334,5.8360,60.95,126.00,0.028304
1.8292,5.8360,60.95,126.00,0.028434
1.9244,5.8360,61.22,126.00,0.028360
2.0251,5.8360,61.22,126.00,0.029507
2.1213,5.8360,60.69,126.00,0.028072
2.2170,5.8360,61.22,126.00,0.028279
2.3142,5.8360,60.95,126.00,0.028191
2.4092,5.8360,60.95,126.00,0.027938
2.5110,5.8780,61.22,126.00,0.031117
2.6143,5.9200,60.69,126.00,0.030674
2.7189,5.9200,60.42,126.00,0.030368
2.8228,5.9200,61.22,126.00,0.030907
2.9186,5.9200,61.22,126.00,0.029588
3.0161,5.9200,61.22,126.00,0.030361
3.1160,5.9200,61.22,126.00,0.030112
3.2132,5.9200,61.22,126.00,0.029523
3.3095,5.9295,60.42,126.00,0.030107
3.4076,5.9390,61.22,126.00,0.029738
3.5033,5.9390,61.49,126.00,0.029751
3.5969,5.9390,60.95,126.00,0.028726
3.6927,5.9390,61.22,126.00,0.029063
3.7891,5.9390,61.22,126.00,0.029147
3.8848,5.9390,61.22,126.00,0.029091
3.9794,5.9390,61.49,126.00,0.028734
4.0748,5.9390,60.95,126.00,0.028616
4.1701,5.9390,61.22,126.00,0.029085
4.2662,5.9390,61.22,126.00,0.030082
4.3640,5.9715,61.49,126.00,0.030045
4.4620,6.0040,60.95,126.00,0.029332
4.5592,6.0040,61.49,126.00,0.029791
4.6531,6.0040,61.22,126.00,0.028080
4.7459,6.0040,61.22,126.00,0.028783
4.8414,6.0040,60.95,126.00,0.029854
4.9381,6.0040,61.49,126.00,0.029496
5.0341,6.0040,61.22,126.00,0.028854
5.1287,6.0040,61.22,126.00,0.029452
5.2243,6.0040,61.22,126.00,0.027686
5.3162,6.0040,61.22,126.00,0.027702
5.4119,6.0040,61.22,126.00,0.027946
5.5087,6.0040,61.22,126.00,0.028674
