Pruning Fraction,Model Size [MB] Delta (T3-T1),Max Memory Usage [MB] Delta (T3-T1),Avg Latency/Image [ms] Delta (T3-T1),Avg Energy/Image [mJ] Delta (T3-T1),Test Accuracy [%] Delta (T3-T1)
0.05,-8.079999999999998,-19.5,-19.61,-118.18189999999998,-0.09999999999999432
0.1,-7.25,-11.5,-17.38,-117.60899999999998,0.04999999999999716
0.2,-5.73,-5.0,-15.459999999999999,-97.92100000000005,0.10000000000000853
0.3,-4.39,-3.0,-13.079999999999998,-79.81619999999998,-0.10999999999999943
0.4,-3.2200000000000006,-2.0,-10.52,-63.63130000000001,-0.020000000000010232
0.5,-2.2399999999999998,-1.0,-8.81,-56.832899999999995,-0.010000000000005116
