Pruning Fraction,#Fine-tuning Epochs,#Parameters,Model Size [MB],Max Memory Usage [MB],Avg Latency/Image [ms],Avg Energy/Image [mJ],Test Accuracy [%]
0.05,25,2902933,2.96,126.0,10.13,471.671,85.81
0.1,25,2607681,2.67,125.0,9.64,468.5995,85.08
0.2,25,2069432,2.14,123.0,8.58,458.418,85.59
0.3,25,1592437,1.67,123.0,7.62,452.6775,84.91
0.4,25,1178807,1.26,122.0,6.81,446.2084,84.32
0.5,25,828362,0.91,123.0,5.51,435.6504,83.92
