Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
0.1855,0.0000,58.80,123.00,0.009032
0.2599,0.0000,59.07,124.00,0.009350
0.3324,0.0000,59.88,124.00,0.010851
0.4161,0.0000,59.34,124.00,0.010653
0.4884,0.0000,59.34,124.00,0.009303
0.5655,0.0000,60.15,124.00,0.010402
0.6499,0.0000,60.15,124.00,0.010319
0.7358,3.2445,59.07,124.00,0.010981
0.8206,6.4890,60.15,124.00,0.010725
0.9041,6.4890,60.42,124.00,0.010498
0.9871,6.4890,60.15,124.00,0.010202
1.0660,6.4890,60.15,124.00,0.008266
1.1389,6.4890,60.15,124.00,0.010093
1.2229,6.4890,60.15,124.00,0.010834
1.3050,6.4890,60.42,124.00,0.010299
1.3903,6.4890,60.15,124.00,0.010172
1.4746,6.4890,60.15,124.00,0.010795
1.5630,6.4890,60.15,124.00,0.010632
1.6393,6.4890,60.42,124.00,0.009984
1.7162,6.4890,60.15,124.00,0.010013
1.7957,5.6870,60.42,124.00,0.010280
1.8767,5.6870,60.15,124.00,0.009997
1.9543,5.6870,60.15,124.00,0.009611
2.0336,5.6870,60.42,124.00,0.009709
2.1081,5.6870,60.42,124.00,0.009406
2.1847,5.6870,60.42,124.00,0.009339
2.2636,5.6870,60.69,124.00,0.010469
2.3442,5.6870,60.69,124.00,0.010627
2.4218,5.6870,60.42,124.00,0.009497
2.4990,5.6870,60.69,124.00,0.009673
2.5756,5.6870,60.95,124.00,0.009778
2.6557,5.6870,60.42,124.00,0.010098
2.7355,5.8245,60.69,124.00,0.009939
2.8139,5.9620,60.69,124.00,0.009634
2.8919,5.9620,60.69,124.00,0.009808
2.9727,5.9620,60.15,124.00,0.010397
3.0489,5.9620,60.42,124.00,0.010208
3.1273,5.9620,60.42,124.00,0.010228
3.2044,5.9620,60.42,124.00,0.010287
3.2822,5.9620,60.42,124.00,0.009940
3.3591,5.9620,60.42,124.00,0.010616
3.4407,5.9620,60.69,124.00,0.009631
3.5176,5.9620,60.42,124.00,0.009439
3.5956,5.9620,60.15,124.00,0.009392
3.6709,5.9620,60.69,124.00,0.009655
3.7513,5.9580,60.69,124.00,0.010034
3.8274,5.9540,60.95,124.00,0.010322
3.9077,5.9540,60.69,124.00,0.010534
3.9842,5.9540,60.95,124.00,0.010391
4.0622,5.9540,60.95,124.00,0.010036
4.1385,5.9540,60.42,124.00,0.009701
4.2167,5.9540,60.95,124.00,0.010451
4.2976,5.9540,60.69,124.00,0.010282
4.3756,5.9540,60.95,124.00,0.010353
4.4524,5.9540,60.95,124.00,0.010120
4.5317,5.9540,60.95,124.00,0.009591
4.6087,5.9540,61.22,124.00,0.009658
4.6877,5.9540,60.69,124.00,0.009720
4.7633,5.9540,60.95,124.00,0.010272
4.8462,5.9730,60.95,124.00,0.009768
4.9229,5.9730,60.69,124.00,0.010144
5.0004,5.9730,60.95,124.00,0.010305
5.0791,5.9730,60.95,124.00,0.010039
5.1591,5.9730,60.69,124.00,0.009809
5.2376,5.9730,60.95,124.00,0.010501
5.3170,5.9730,61.22,124.00,0.010304
5.3957,5.9730,61.22,124.00,0.010010
5.4758,5.9730,60.95,124.00,0.009454
5.5514,5.9730,60.69,124.00,0.009614
5.6284,5.9730,60.95,124.00,0.009793
5.7082,5.9730,61.22,124.00,0.009586
5.7889,5.8630,60.69,124.00,0.009904
5.8661,5.8630,60.95,124.00,0.009706
5.9463,5.8630,60.95,124.00,0.009893
6.0250,5.8630,60.95,124.00,0.009788
6.1037,5.8630,60.95,124.00,0.009989
6.1828,5.8630,60.69,124.00,0.010340
6.2642,5.8630,60.95,124.00,0.010817
6.3405,5.8630,61.22,124.00,0.010436
6.4209,5.8630,60.69,124.00,0.009930
6.4996,5.8630,60.95,124.00,0.010173
6.5795,5.8630,60.69,124.00,0.010122
6.6593,5.8630,60.95,124.00,0.010317
6.7400,5.8590,60.95,124.00,0.010417
6.8196,5.8550,60.95,124.00,0.010215
6.8998,5.8550,60.95,124.00,0.010147
6.9779,5.8550,60.95,124.00,0.010161
7.0592,5.8550,60.95,124.00,0.010257
7.1359,5.8550,60.95,124.00,0.009928
7.2142,5.8550,61.22,124.00,0.009890
7.2920,5.8550,61.22,124.00,0.010612
7.3730,5.8550,60.95,124.00,0.010410
7.4496,5.8550,61.22,124.50,0.010161
7.5290,5.8550,60.95,125.00,0.010482
7.6085,5.8550,60.95,125.00,0.009417
7.6911,5.8550,60.95,125.00,0.010159
7.7717,5.8630,60.95,125.00,0.010512
7.8525,5.8630,61.22,125.00,0.010171
7.9315,5.8630,61.22,125.00,0.009840
8.0135,5.8630,61.22,125.00,0.010344
8.0931,5.8630,60.69,125.00,0.010401
8.1759,5.8630,61.49,125.00,0.010422
8.2549,5.8630,61.22,125.00,0.010121
8.3344,5.8630,61.22,125.00,0.010108
8.4112,5.8630,61.22,125.00,0.010674
8.4890,5.8630,60.69,125.00,0.010246
8.5681,5.8630,61.22,125.00,0.010336
8.6479,5.8630,61.49,125.00,0.009719
8.7233,5.8630,60.95,125.00,0.009642
8.8038,5.9010,60.95,125.00,0.010371
8.8839,5.9010,60.95,125.00,0.010388
8.9618,5.9010,61.22,125.00,0.010291
9.0394,5.9010,61.22,125.00,0.010550
9.1200,5.9010,61.22,125.00,0.010268
9.1970,5.9010,61.22,125.00,0.010469
9.2750,5.9010,61.49,125.00,0.010225
9.3543,5.9010,61.22,125.00,0.010118
9.4355,5.9010,61.22,125.00,0.010651
9.5171,5.9010,61.22,125.00,0.010463
9.5959,5.9010,61.22,125.00,0.009909
9.6730,5.9010,61.22,125.00,0.010073
9.7556,5.8820,61.22,125.00,0.010269
9.8329,5.8630,61.22,125.00,0.010426
9.9128,5.8630,61.22,125.00,0.010605
9.9917,5.8630,61.22,125.00,0.010064
10.0705,5.8630,61.22,125.00,0.010337
10.1471,5.8630,60.95,125.00,0.010256
10.2258,5.8630,61.22,125.00,0.010340
10.3030,5.8630,61.22,125.00,0.009747
10.3816,5.8630,61.22,125.00,0.010374
10.4597,5.8630,60.69,125.00,0.009509
10.5359,5.8630,61.22,125.00,0.009382
10.6115,5.8630,61.22,125.00,0.009931
10.6899,5.8630,61.22,125.00,0.010199
10.7663,5.8895,61.49,125.00,0.009871
10.8451,5.9160,61.22,125.00,0.010395
10.9220,5.9160,61.22,124.00,0.010082
10.9999,5.9160,61.22,124.00,0.010092
11.0792,5.9160,61.22,124.00,0.010620
11.1597,5.9160,61.22,124.00,0.010234
11.2359,5.9160,61.22,124.00,0.010119
11.3155,5.9160,61.22,124.00,0.010555
11.3945,5.9160,61.22,124.00,0.010264
11.4729,5.9160,61.49,124.00,0.009969
11.5526,5.9160,61.22,124.00,0.010355
11.6324,5.9160,61.22,124.00,0.010130
11.7125,5.9160,61.22,124.00,0.011057
11.7927,5.8510,60.95,124.00,0.009971
11.8711,5.8510,60.95,124.00,0.010731
11.9494,5.8510,60.95,124.00,0.010016
12.0281,5.8510,60.95,124.00,0.009819
12.1089,5.8510,60.95,124.00,0.010519
12.1865,5.8510,60.95,124.00,0.009659
12.2630,5.8510,60.95,124.00,0.009690
12.3376,5.8510,61.22,124.00,0.009512
12.4149,5.8510,61.49,124.00,0.009538
12.4914,5.8510,61.22,124.00,0.010248
12.5718,5.8510,61.22,124.00,0.010295
12.6519,5.8510,61.22,124.00,0.009648
12.7284,5.8510,60.95,124.00,0.009533
12.8077,5.9310,61.22,124.00,0.009532
12.8888,5.9310,60.95,124.00,0.010272
12.9676,5.9310,61.22,124.00,0.009906
13.0478,5.9310,61.22,124.00,0.009915
13.1241,5.9310,60.95,124.00,0.010144
13.2039,5.9310,61.22,124.00,0.010219
13.2804,5.9310,61.22,124.00,0.009751
13.3629,5.9310,61.22,124.00,0.010189
13.4404,5.9310,60.95,124.00,0.010462
13.5209,5.9310,61.22,124.00,0.010246
13.5995,5.9310,61.22,124.00,0.010127
13.6802,5.9310,61.22,124.00,0.010256
13.7594,5.9465,61.22,124.00,0.010418
13.8381,5.9620,61.22,124.00,0.010235
13.9149,5.9620,60.95,124.00,0.010445
13.9949,5.9620,61.49,124.00,0.009867
14.0732,5.9620,61.49,124.00,0.009645
14.1531,5.9620,61.22,124.00,0.010195
14.2325,5.9620,61.22,124.00,0.010279
14.3111,5.9620,61.22,124.00,0.010400
14.3881,5.9620,61.22,124.00,0.010095
14.4685,5.9620,61.22,124.00,0.010658
14.5476,5.9620,61.49,124.00,0.009876
14.6251,5.9620,60.95,124.00,0.010050
14.7036,5.9620,61.22,124.00,0.009846
