time	power_W	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7
9.686	5.447	0.0950	0.0000	0.0000	0.0000	1.0000	0.0480	0.0480	0.0000	52.00	42.00	44.00	41.00
9.888	5.462	0.0500	0.0480	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	52.00	42.00	44.00	41.00
10.089	5.462	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	52.00	42.00	44.00	41.00
10.291	5.462	0.0950	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	52.00	42.00	44.00	41.00
10.493	5.462	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	52.00	42.00	44.00	41.00
10.694	5.462	0.0000	0.0000	0.0000	0.0000	1.0000	0.0910	0.0000	0.0000	52.00	42.00	44.00	41.00
10.896	5.470	0.0950	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	52.00	42.00	44.00	41.00
11.098	5.470	0.0000	0.0480	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	52.00	42.00	44.00	41.00
11.300	5.470	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0500	52.00	42.00	44.00	41.00
11.501	5.470	0.0950	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	52.00	42.00	44.00	41.00
11.703	5.492	0.0000	0.0000	0.0000	0.0000	1.0000	0.0500	0.0000	0.0000	52.00	42.00	44.00	41.00
11.905	5.492	0.0950	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	42.00	44.00	41.00
12.107	5.492	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0950	52.00	42.00	44.00	41.00
12.308	5.492	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0480	0.0000	52.00	42.00	44.00	41.00
12.510	5.492	0.0480	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0950	53.00	42.00	44.00	41.00
12.711	5.485	0.0530	0.0000	0.0000	0.0000	1.0000	0.0500	0.0000	0.0480	52.00	42.00	44.00	41.00
12.913	5.485	0.0480	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	52.00	42.00	44.00	41.00
13.115	5.485	0.0500	0.0000	0.0000	0.0000	1.0000	0.0480	0.0000	0.0000	53.00	42.00	44.00	41.00
13.317	5.485	0.0000	0.0500	0.0000	0.0000	1.0000	0.0000	0.0000	0.0480	53.00	42.00	44.00	41.00
13.518	5.485	0.0480	0.0000	0.0000	0.0000	1.0000	0.0480	0.0000	0.0000	53.00	42.00	44.00	41.00
13.720	5.462	0.1000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0500	0.0000	53.00	42.00	44.00	41.00
13.922	5.462	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	42.00	44.00	41.00
14.123	5.462	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	44.00	41.00
14.325	5.462	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	42.00	44.00	41.00
14.527	5.462	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	42.00	44.00	41.00
14.728	5.462	0.0950	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	44.00	41.00
14.930	5.466	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	42.00	44.00	41.00
15.132	5.466	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	42.00	44.00	41.00
15.334	5.466	0.0950	0.0000	0.0000	0.0000	1.0000	0.0480	0.0000	0.0000	53.00	42.00	44.00	41.00
15.535	5.466	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	42.00	44.00	41.00
15.737	5.473	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0480	0.0000	53.00	43.00	45.00	41.00
15.939	5.473	0.0950	0.0000	0.0000	0.0000	1.0000	0.0480	0.0000	0.0000	53.00	43.00	44.00	41.00
16.140	5.473	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	44.00	41.00
