Benchmark,Accuracy [%],Avg. Precision,Avg. Recall,Avg. F1-Score
blackscholes,66.48517846339988,0.8323244552058111,0.5009009009009009,0.4010712884238064
bodytrack,62.448418156808806,0.312242090784044,0.5,0.384419983065199
