Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
14.0990,5.9310,61.22,126.00,0.029879
14.1976,5.9310,61.22,126.00,0.030003
14.2960,5.9310,60.95,126.00,0.029870
14.3950,5.9310,61.49,126.00,0.030461
14.4960,5.9310,61.49,126.00,0.030840
14.5951,5.9310,61.49,126.00,0.030309
14.6960,5.9310,61.22,126.00,0.030247
14.7948,5.9215,61.49,126.00,0.029732
14.8937,5.9120,61.22,126.00,0.029690
14.9907,5.9120,61.22,126.00,0.029996
15.0891,5.9120,61.76,126.00,0.029853
15.1848,5.9120,61.22,126.00,0.028119
15.2809,5.9120,60.42,126.00,0.028626
15.3790,5.9120,61.22,126.00,0.030102
15.4796,5.9120,61.22,126.00,0.029913
15.5805,5.9120,61.22,126.00,0.029948
15.6827,5.9120,61.49,126.00,0.029801
15.7828,5.9120,61.49,126.00,0.029966
15.8840,5.8740,61.22,126.00,0.029602
15.9832,5.8740,61.49,126.00,0.029830
16.0865,5.8740,61.49,126.00,0.030378
16.1839,5.8740,61.22,126.00,0.029872
16.2839,5.8740,61.22,126.00,0.029373
16.3833,5.8740,61.22,126.00,0.029903
16.4827,5.8740,60.95,126.00,0.029481
16.5801,5.8740,61.49,126.00,0.030207
16.6812,5.8740,61.22,126.00,0.029934
16.7782,5.8740,61.49,126.00,0.029722
16.8784,5.9960,61.22,126.00,0.029811
16.9763,5.9960,61.22,126.00,0.030374
17.0736,5.9960,61.76,126.00,0.028585
17.1698,5.9960,61.22,126.00,0.028883
17.2720,5.9960,61.49,126.00,0.030483
17.3705,5.9960,61.49,126.00,0.029919
17.4751,5.9960,61.49,126.00,0.030083
17.5734,5.9960,61.22,126.00,0.029707
17.6752,5.9960,61.49,126.00,0.030290
17.7777,5.9960,61.22,126.00,0.030102
17.8797,6.0230,61.22,126.00,0.030412
17.9794,6.0230,61.22,126.00,0.030377
18.0807,6.0230,61.22,126.00,0.030227
18.1806,6.0230,61.49,126.00,0.029993
18.2807,6.0230,61.22,126.00,0.030179
18.3840,6.0230,61.22,126.00,0.030329
18.4870,6.0230,61.49,126.00,0.030140
18.5880,6.0230,61.49,126.00,0.029816
18.6889,6.0230,61.22,126.00,0.030274
18.7880,6.0230,61.22,126.00,0.030375
18.8856,5.8090,61.49,126.00,0.029110
18.9867,5.8090,61.22,126.00,0.029518
19.0877,5.8090,61.22,126.00,0.030331
19.1907,5.8090,61.22,126.00,0.029431
19.2934,5.8090,61.22,126.00,0.029535
19.3924,5.8090,61.22,126.00,0.029992
