Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
0.2212,0.0000,56.38,173.00,0.082456
0.3836,0.0000,56.38,174.00,0.081621
0.5431,5.1150,56.92,174.00,0.082243
0.7030,5.1150,56.92,174.00,0.082241
0.8633,5.1150,57.46,174.00,0.081092
1.0184,5.1150,57.46,174.00,0.078821
1.1794,5.1150,58.00,174.00,0.081714
1.3371,5.1150,58.00,174.00,0.080991
1.4920,5.1150,58.00,174.00,0.077900
1.6492,5.1150,58.00,174.00,0.080491
1.8155,5.1150,58.00,174.00,0.084055
1.9785,5.1150,58.00,174.00,0.082362
2.1367,5.1150,58.27,174.00,0.081139
2.2949,5.1150,58.00,174.00,0.081035
2.4535,5.1150,58.00,174.00,0.081691
2.6137,5.1150,58.00,174.00,0.082444
2.7715,5.1150,58.27,174.00,0.081599
2.9302,5.1150,58.00,174.00,0.081427
3.0900,6.0480,58.27,174.00,0.083312
3.2499,6.9810,58.53,174.00,0.082387
3.4092,6.8760,58.27,174.00,0.081925
3.5633,6.7710,58.00,174.00,0.078353
3.7218,6.7710,58.80,174.00,0.081897
3.8760,6.7710,59.07,174.00,0.077718
4.0342,6.7710,59.07,174.00,0.081365
4.1928,6.7710,59.07,174.00,0.082347
4.3508,6.7710,59.07,174.00,0.081792
4.5099,6.8130,58.80,174.00,0.081907
4.6696,6.8550,59.07,174.00,0.082290
4.8283,6.8550,59.07,174.00,0.081630
4.9878,6.8550,58.80,174.00,0.082285
5.1466,6.8550,58.80,174.00,0.081863
5.3047,6.8550,58.80,174.00,0.080433
5.4644,6.8950,59.07,174.00,0.082364
5.6240,6.9350,59.07,174.00,0.082133
5.7835,6.9350,59.07,174.00,0.082940
5.9423,6.9350,59.07,174.00,0.081719
6.1003,6.9350,59.07,174.00,0.081527
6.2603,6.9350,58.80,174.00,0.082508
6.4190,6.8800,59.07,174.00,0.082096
6.5789,6.8250,59.07,174.00,0.082449
6.7366,6.8250,59.34,174.00,0.079741
6.8903,6.8250,59.61,174.00,0.077641
7.0460,6.8250,59.07,174.00,0.079140
7.2023,6.8250,59.07,174.00,0.079691
7.3605,6.8250,59.61,174.00,0.082022
7.5229,6.9010,59.07,174.00,0.082335
7.6823,6.9770,59.88,174.00,0.081776
7.8421,6.9770,59.34,174.00,0.082670
8.0012,6.9770,59.34,175.00,0.082086
8.1611,6.9770,59.07,175.00,0.081807
