Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
16.2492,6.7330,54.77,152.00,0.046782
16.3725,6.7330,54.77,152.00,0.046916
16.4928,6.7330,54.77,152.00,0.046633
16.6125,6.7330,54.77,152.00,0.046447
16.7328,6.7330,54.77,152.00,0.047758
16.8524,6.7330,54.77,152.00,0.047241
16.9734,6.7690,54.77,152.00,0.047339
17.0937,6.8050,54.77,152.00,0.046513
17.2143,6.8050,54.77,152.00,0.047824
17.3363,6.8050,54.50,152.00,0.047209
17.4581,6.8050,54.77,152.00,0.047373
17.5779,6.8050,54.77,152.00,0.047084
17.6974,6.8050,54.77,152.00,0.045761
17.8097,6.8050,55.04,152.00,0.043011
17.9263,6.8050,55.04,152.00,0.046782
18.0436,6.8050,55.04,152.50,0.046500
18.1606,6.8050,54.77,153.00,0.046404
18.2769,6.8050,55.04,153.00,0.046199
18.3942,6.8050,54.77,153.00,0.046868
18.5101,6.8050,55.04,153.00,0.045992
18.6264,6.8050,55.31,153.00,0.046107
18.7429,6.8050,54.77,153.00,0.045805
18.8595,6.8050,55.04,153.00,0.046335
18.9780,6.7825,55.04,153.00,0.047152
19.0964,6.7600,54.77,153.00,0.047043
19.2130,6.7600,55.04,153.00,0.046184
19.3301,6.7600,55.31,153.00,0.046928
19.4449,6.7600,55.04,153.00,0.045111
19.5611,6.7600,54.77,153.00,0.045875
19.6773,6.7600,55.31,153.00,0.046186
19.7929,6.7600,55.04,153.00,0.045478
19.9097,6.8000,54.77,153.00,0.046129
20.0262,6.8400,54.77,153.00,0.046353
20.1428,6.8400,55.04,153.00,0.046919
20.2589,6.8400,55.04,153.00,0.045671
20.3752,6.8400,55.31,153.00,0.046095
20.4913,6.8400,55.58,153.00,0.046287
20.6079,6.8400,54.77,153.00,0.046502
20.7209,6.8400,55.31,153.00,0.042943
20.8332,6.8400,55.31,153.00,0.043500
20.9462,6.8400,55.04,153.00,0.044134
21.0656,6.8890,55.04,153.00,0.047080
21.1798,6.8890,55.31,153.00,0.044558
21.2917,6.8890,55.31,153.00,0.042781
21.4039,6.8890,55.31,153.00,0.043364
21.5204,6.8890,55.31,153.00,0.046287
21.6364,6.8890,55.04,153.00,0.046091
21.7527,6.8890,55.58,153.00,0.046555
21.8699,6.8890,55.04,153.00,0.046859
21.9859,6.8855,55.31,153.00,0.045918
22.1028,6.8820,55.04,153.00,0.046347
22.2190,6.8820,55.58,153.00,0.045890
22.3358,6.8820,54.77,153.00,0.046735
22.4519,6.8820,55.84,153.00,0.046023
22.5679,6.8820,55.31,153.00,0.046056
22.6851,6.8820,55.31,153.00,0.046679
22.8025,6.8820,55.31,153.00,0.046794
22.9217,6.8360,55.31,153.00,0.046463
23.0376,6.7900,55.58,153.00,0.045598
23.1545,6.7900,55.31,153.00,0.047024
23.2712,6.7900,55.58,153.00,0.046893
23.3874,6.7900,55.04,153.00,0.046147
23.5033,6.7900,55.04,153.00,0.046050
