epoch,test_accuracy
1,39.8800
2,51.4500
3,63.1000
4,67.7400
5,71.0300
6,72.2700
7,73.6600
8,74.5500
9,74.4900
10,73.5300
11,75.3500
12,75.1700
13,75.3600
14,74.4300
15,74.9500
16,74.3500
17,75.5300
18,74.4500
19,75.1900
20,75.2300
21,74.0900
22,75.0600
23,75.0900
24,74.7800
25,75.0300
26,75.1800
27,75.0900
28,73.3500
29,74.2500
30,75.0400
31,75.0000
32,74.9100
33,73.5600
34,75.0700
35,75.1100
36,75.1600
37,75.7100
38,75.2800
39,74.1100
40,75.6300
41,75.4300
42,75.2200
43,74.5600
44,75.6400
45,74.9800
46,75.3700
47,75.7900
48,74.0400
49,75.8500
50,75.7100
51,76.4100
52,75.3200
53,75.3500
54,75.3400
55,75.4400
56,76.2200
57,75.8500
58,75.5000
59,76.3100
60,75.2100
61,75.1500
62,75.3200
63,75.8100
64,74.9700
65,76.2300
66,76.8300
67,75.6900
68,75.2200
69,75.6800
70,76.7100
71,75.3800
72,76.1700
73,74.4100
74,75.3200
75,75.6700
76,76.0200
77,76.3300
78,75.7500
79,75.3200
80,76.0600
81,76.1300
82,76.7800
83,75.9400
84,76.2800
85,75.3700
86,75.2200
87,75.6400
88,74.6000
89,75.7200
90,76.2000
91,76.2700
92,75.4400
93,76.2300
94,76.6200
95,76.0600
96,76.4500
97,76.5200
98,76.4900
99,75.9400
100,76.0800
