Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
11.7698,5.8440,62.30,118.00,0.017175
11.8518,5.8440,61.49,118.00,0.016598
11.9370,5.8440,61.76,118.00,0.016526
12.0188,5.8440,62.03,118.00,0.016556
12.1023,5.8440,61.49,118.00,0.017153
12.1874,5.8440,62.30,118.00,0.017079
12.2735,5.8440,61.22,118.00,0.017241
12.3568,5.8440,61.76,118.00,0.017484
12.4412,5.8440,61.76,118.00,0.017099
12.5295,5.9295,61.49,118.00,0.018121
12.6221,6.0150,61.76,118.00,0.017378
12.7034,6.0150,62.30,118.00,0.016491
12.7901,6.0150,61.49,118.00,0.017605
12.8755,6.0150,62.03,118.00,0.017737
12.9651,6.0150,61.49,118.00,0.017428
13.0517,6.0150,62.30,118.50,0.018171
13.1428,6.0150,61.49,119.00,0.018164
13.2352,6.0150,61.22,119.00,0.018602
13.3254,6.0150,61.49,119.00,0.017314
13.4089,6.0150,62.30,119.00,0.017638
13.4959,6.0150,61.76,119.00,0.017406
13.5815,5.8550,61.49,119.00,0.017159
13.6687,5.8550,61.22,119.00,0.017202
13.7546,5.8550,61.49,119.00,0.017658
13.8423,5.8550,61.49,119.00,0.017678
13.9252,5.8550,61.76,119.00,0.017089
14.0121,5.8550,61.22,119.00,0.017471
14.0969,5.8550,61.76,119.00,0.017334
14.1819,5.8550,61.49,119.00,0.017377
14.2653,5.8550,61.76,119.00,0.017588
14.3505,5.8550,62.03,119.00,0.017205
14.4356,5.8550,61.49,119.00,0.017261
14.5227,5.9445,61.76,119.00,0.017659
14.6049,6.0340,61.49,119.00,0.016304
14.6899,6.0340,61.49,119.00,0.016749
14.7718,6.0340,61.76,119.00,0.016628
14.8589,6.0340,62.03,119.00,0.017188
14.9411,6.0340,62.03,119.00,0.017193
15.0285,6.0340,62.03,119.00,0.017437
15.1115,6.0340,62.03,119.00,0.017177
15.1987,6.0340,62.03,119.00,0.017292
15.2841,6.0340,61.49,119.00,0.017644
15.3690,6.0340,61.49,119.00,0.017127
15.4516,6.0340,62.30,119.00,0.017308
15.5390,5.9580,62.03,119.00,0.017672
15.6227,5.8820,61.49,119.00,0.017524
15.7066,5.8820,61.76,119.00,0.016581
15.7878,5.8820,61.76,119.00,0.016423
15.8733,5.8820,61.76,119.00,0.016339
15.9556,5.8820,61.76,119.00,0.017823
16.0426,5.8820,62.30,119.00,0.017332
16.1262,5.8820,62.03,119.00,0.017406
16.2130,5.8820,61.76,119.00,0.017133
16.2987,5.8820,61.76,119.00,0.017587
16.3854,5.8820,61.76,119.00,0.016649
16.4689,5.8820,62.30,119.00,0.017446
16.5565,5.9810,61.49,119.00,0.017272
16.6396,5.9810,62.03,119.00,0.017128
16.7262,5.9810,61.76,119.00,0.016975
16.8125,5.9810,61.22,119.50,0.018161
16.9013,5.9810,62.30,120.00,0.016864
16.9862,5.9810,61.76,120.00,0.017375
17.0735,5.9810,62.03,120.00,0.017357
17.1588,5.9810,61.22,120.00,0.017111
17.2437,5.9810,61.22,120.00,0.017373
17.3265,5.9810,61.76,120.00,0.017798
17.4133,5.9810,61.76,120.00,0.016928
17.5011,5.9160,61.49,120.00,0.017486
17.5884,5.8510,61.76,120.00,0.017010
17.6736,5.8510,61.49,120.00,0.017214
17.7565,5.8510,62.03,120.00,0.016333
17.8399,5.8510,61.49,120.00,0.016673
17.9250,5.8510,62.03,120.00,0.016311
18.0085,5.8510,61.22,120.00,0.017595
18.0930,5.8510,62.03,120.00,0.017200
18.1749,5.8510,62.03,120.00,0.016545
18.2570,5.8510,61.76,120.00,0.016397
18.3391,5.8510,62.03,120.00,0.016996
18.4257,5.8510,62.03,120.00,0.017384
18.5152,5.9235,61.76,120.00,0.018421
18.6040,5.9960,61.76,120.00,0.017496
18.6951,5.9960,61.49,120.00,0.017641
18.7855,5.9960,62.30,120.00,0.017292
18.8740,5.9960,61.76,120.00,0.017516
18.9653,5.9960,61.76,120.00,0.018210
19.0539,5.9960,61.49,120.00,0.017392
19.1451,5.9960,61.76,120.00,0.017411
19.2333,5.9960,61.22,120.00,0.017858
19.3257,5.9960,61.22,120.00,0.017761
19.4159,5.9960,61.49,120.00,0.017191
19.5085,5.9215,61.76,120.00,0.017989
19.5969,5.8470,62.03,120.00,0.016502
19.6805,5.8470,61.49,120.00,0.016445
19.7663,5.8470,61.76,120.00,0.017150
19.8547,5.8470,61.76,120.00,0.018274
19.9436,5.8470,61.76,120.00,0.018369
20.0359,5.8470,61.22,120.00,0.017659
20.1219,5.8470,61.49,120.00,0.017409
20.2122,5.8470,61.76,120.00,0.018100
20.3005,5.8470,61.49,120.00,0.018129
20.3905,5.8470,61.49,120.00,0.017343
20.4804,5.8470,62.30,120.00,0.018464
20.5702,5.8130,61.76,120.00,0.018141
20.6591,5.8130,62.30,120.00,0.017853
20.7493,5.8130,61.49,120.00,0.017641
